"So, W.",2526,Zhang Zhong,2617,0-1, e4 e5 2. Bc4 Nf6 3. d3 c6 4. Nf3 d6 5. O-O Nbd7 6. c3 d5 7. Bb3 Bd6 8. Bg5, Nbd2 O-O 10. Re1 h6 11. Bh4 Re8 12. h3 b6 13. Bg3 Ba6 14. d4 exd4 15. e5, Nxe5 dxc3 17. Ndf3 cxb2 18. Rb1 Re6 19. Rxb2 Rae8 20. Ba4 b5 21. Bc2, Bd3 Qb6 23. Rbe2 b4 24. Bh4 Bxd3 25. Qxd3 c4 26. Qb1 Qc7 27. Qf5 Ne4 28., Rd1 Nc3 30. Rxe6 Rxe6 31. Rd2 Ne2+ 32. Kf1 Nf4 33. Nd4 c3 34. Nxe6, Rd3 fxe6 0-1
"So, W.",2526,"Mas, H.",2382,1/2-1/2, e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Qb6 8. Qd2, Bxf6 gxf6 10. Nb3 Bd7 11. O-O-O O-O-O 12. Kb1 h5 13. Be2 Kb8 14. Rhf1, Rf3 Rdg8 16. Bf1 Rc8 17. Qe2 Na5 18. Rh3 h4 19. Qe1 Nxb3 20. axb3 Qc5, Rxh4 f5 22. Rxh8 Rxh8 23. Bd3 fxe4 24. Nxe4 Qh5 25. Be2 Qxh2 26. Nxd6 Bxd6, Rxd6 Qxg2 28. Qc3 Rc8 29. Qe5 f6 30. Qe3 Rc7 31. Bc4 Qh1+ 32. Ka2 Qh7 33., Qb6 Rc6 35. Rxc6 Bxc6 36. Bxa6 e5 37. fxe5 Qxe5 38. Bc4 f5 39. b4 f4, b5 Bd7 41. Qd8+ Bc8 42. Bd5 Qc7 43. Qxc7+ Kxc7 44. Bf3 Kb6 45. c4 Kc5 46., Ka3 Ke3 48. Bd5 f3 49. Kb4 f2 50. Bg2 Bg4 51. c5 Kd4 52. c6 bxc6 53., c7 Bxg2 1/2-1/2
"So, W.",2540,Li Chao2,2582,1/2-1/2, e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 Nc6 8. Qd2, Bc4 Bd7 10. h4 Rc8 11. Bb3 h5 12. O-O-O Ne5 13. Bg5 Rc5 14. g4 hxg4 15., Bxf6 Bxf6 17. e5 Bg7 18. Qg2 1/2-1/2
"So, W.",2540,"Megaranto, S.",2561,0-1, e4 Nc6 2. Nf3 d6 3. d4 Bg4 4. Nc3 e6 5. Be3 Nf6 6. h3 Bh5 7. d5 exd5 8. exd5, Qxf3 Ne5 10. Qe2 h5 11. O-O-O Be7 12. f4 Ned7 13. g3 c5 14. Bg2 O-O 15., g5 Nh7 17. Qxh5 b4 18. Ne4 Qa5 19. Kb1 Rab8 20. f5 Rfe8 21. Bf4 c4, Bxd6 Nhf6 23. gxf6 Nxf6 24. Qh4 Nxe4 25. Bxe7 Nc3+ 26. Kc1 b3 27. cxb3 cxb3, axb3 Qa1+ 29. Kc2 Nxd1 30. Rxd1 Rbc8+ 31. Kd2 Qxb2+ 32. Ke1 Qxg2 0-1
"So, W.",2577,"Sadorra, J.",2470,1/2-1/2, e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. f4 a6 7. Nxc6 Qxc6 8., Qe2 Bb7 10. Bd2 Rc8 11. O-O Bc5+ 12. Kh1 h5 13. e5 f5 14. a4 b4 15., c3 b3 17. Nc1 h4 18. h3 Rh6 19. Bb5 Qc7 20. Ba6 Rg6 21. Bxb7 Qxb7, Rf3 Qe4 23. Qd3 Rg3 24. Rxg3 hxg3 25. Qxe4 fxe4 26. Ne2 Bf2 27. Be1 Rc4 28., Ne2 Ne7 30. g3 Bxe1 31. Rxe1 Rxa4 32. Kg2 Ra2 33. Rb1 Nd5 34. Kf3, c4 Nb6 36. Nc3 Nxc4 37. Nxa2 Nd2+ 38. Kxe3 Nxb1 39. Nc1 Nc3 40. Kd2 Ne4+, Kd3 a3 42. Nxb3 axb2 43. Kc2 Nxg3 44. Nd4 Kf7 45. Kxb2 Kg6 46. Kc3 Nh5 47., Kc5 Kf7 49. Kd6 Ke8 50. h4 Ng6 51. Nf3 Kd8 52. Kc5 Kc7 53. Kc4 Kb6, Kb4 Ne7 55. Kc4 Nf5 56. Kd3 Kc5 57. Ke4 Kc6 58. Kf4 Kc5 59. Kg4 Kd5 60. Kf4, Kg5 Ke4 62. Ne1 Kxe5 63. Nd3+ Kd4 64. Nf4 Nxh4 65. Kxh4 Ke4 66. Nxg6 d5, Nf8 e5 68. Nd7 Kf4 69. Kh3 e4 70. Kg2 Ke3 71. Nf6 d4 72. Kf1 Kd3 1/2-1/2
"So, W.",2577,"Ramirez, Alej",2531,1/2-1/2, e4 Nf6 2. e5 Nd5 3. Nf3 d6 4. d4 dxe5 5. Nxe5 c6 6. Bc4 Nd7 7. Nf3 e6 8. O-O, Re1 O-O 10. Bf1 b5 11. Nbd2 Bb7 12. Ne5 a6 13. Ne4 Nxe5 14. dxe5 Qc7 15., Ng5 Bxg5 17. Bxg5 h6 18. Bh4 c4 19. Be4 Nf4 20. Bxb7 Qxb7 21. Qg4 g5, f3 Rfd8 23. Bf2 Rd2 24. h4 Qe7 25. Re4 Kf8 26. hxg5 hxg5 1/2-1/2
"So, W.",2577,"Sanikidze, T.",2486,1/2-1/2, e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 Be7 8., Qxd4 O-O 10. f4 Qa5 11. Bc4 Bd7 12. e5 dxe5 13. fxe5 Bc6 14. Bd2, Nd5 Qd8 16. Nxe7+ Qxe7 17. Rhe1 Nb6 18. Bf1 Rfd8 19. Qg4 Qc5 20. Kb1, Qh3 Be4 22. Rc1 Rxd2 23. Rxe4 Rad8 24. Bd3 Qf2 25. Rb4 h6 26. Rg4 Kf8, Qg3 Qxg3 28. Rxg3 Nd7 29. Rf1 Nxe5 30. Kc1 R2xd3 31. cxd3 Nxd3+ 32. Kb1 e5, Re3 Rd4 34. a3 e4 35. Kc2 Rc4+ 36. Kd2 Ra4 37. Kc3 b6 38. g4 b5 39. Rf5, Kd2 Nxb2 41. Rxb5 Nd3 42. Ra5 Ke7 43. Rxa7+ Ke6 44. Ra8 Ke5 45. Ra7, a4 g6 47. a5 f5 48. gxf5+ gxf5 49. a6 Ra4 50. Ra8 Ra2+ 51. Kd1 Ke5 52., Re2 Ra1+ 54. Kc2 Ra2+ 55. Kb1 Rxe2 56. Rb8 Re1+ 57. Ka2 Re2+ 58. Ka1, Ka2 Re2+ 60. Ka1 Ke5 1/2-1/2
"So, W.",2577,"Safarli, E.",2527,1/2-1/2, e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 Bd7 6. d4 g6 7. O-O Bg7 8. Re1 b5, Bb3 Nf6 10. Bg5 h6 11. Bh4 O-O 12. Nbd2 Re8 13. a4 Rb8 14. axb5 axb5 15., Nxe5 dxe5 17. Nf3 Qc8 18. Bxf6 Bxf6 19. Ra7 Kg7 20. Bd5 Re7 21., Bb3 Ra8 23. Rxa8 Qxa8 24. Qa1 Re8 25. h3 Qb7 26. Rd1 Rd8 27. Rd2 Qb8, Qd1 Be8 29. Rxd8 Bxd8 30. Nxe5 Qxe5 31. Qxd8 Qxc3 32. Qxe8 Qc1+ 1/2-1/2
"So, W.",2577,"Azmaiparashvili, Z.",2615,1/2-1/2, e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O 6. Bd3 Na6 7. O-O c5 8. d5, Bc4 e6 10. dxe6 Bxe6 11. Bxe6 fxe6 12. f5 exf5 13. exf5 gxf5 14. Nh4 Ng4, Nxf5 Rxf5 16. Rxf5 Qh4 17. h3 Bd4+ 18. Kh1 Nf2+ 19. Rxf2 Qxf2 20. Ne4 Qf5, Nxd6 Qe6 22. c3 Qxd6 23. Qb3+ Kh8 24. cxd4 cxd4 25. Qxb7 Rf8 26. Bg5 Nc5, Qe7 Qxe7 28. Bxe7 Rf5 29. Rd1 Ne6 30. Re1 Nc5 31. Bxc5 Rxc5 32. Re8+ Kg7, Rd8 Rc1+ 34. Kh2 Rd1 35. Rd7+ Kg6 36. Rxa7 d3 37. Kg3 Rb1 38. Rd7 Rxb2
"So, W.",2577,Le Quang Liem,2577,1/2-1/2, e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4, cxd5 Nxd3 10. Qxd3 Qxd5 11. Re1 Bf5 12. Ne5 O-O-O 13. Qf3 g6 14. g4 Bh4, Nc3 Nxc3 16. bxc3 Be6 17. g5 Rhe8 18. c4 Qxd4 19. Rb1 c6 20. Bf4 Qc5 21., Re3 Rxe3 23. Nxa7+ Qxa7 24. Bxe3 Qa8 25. Qe4 Bd7 26. Qxh4 Qxa2 27.
"So, W.",2577,"Gomez, Joh",2457,0-1, e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Be3 a6 8. Qd2 b5, a3 Bb7 10. Ne2 Be7 11. Ng3 O-O 12. dxc5 Nxc5 13. Qf2 Ne4 14. Nxe4 dxe4 15., exf6 Bxf6 17. O-O-O Ne7 18. g3 Rc8 19. Nc4 Nd5 20. Nb6 Qc7 21. Nxc8, Bd4 e3 23. Qe2 Nxf4 24. gxf4 Bxh1 25. c3 Qxf4 26. Bh3 Bf3 27. Bxe6+, Qxe3 Bg5 29. Bxc8 Qh4 30. Bxg7+ Kxg7 31. Rg1 Bg2 0-1
