N/A,N/A,N/A,N/A,N/A,"""]",Nf3 Nf6,c4 e6,Nc3 d5,d4 Bb4,Bg5 Nbd7,cxd5 exd5,Qc2 c5,Bd2 O-O,a3 Bxc3,Bxc3 Qxc5,Rc1 Ne4,e3 Nxc3,Qxc3,Rxc3 Nb6,Bd3 Be6,Kd2 Nc4+,Kc1 b5,Nd4 Rab8,Rd1,Kb1 a5,Be2 Kf8,Ka2 b4,Rc2 bxa3,b3 Nd6,Rxc8+ Rxc8,Kxa3 Ke7,Kb2 Rc5,Bd3 g6,h4 Kf6,g3 Bf5,Bxf5 Nxf5,Rd4 Ke5,Ra4 h5,Rd4 f6,Ra4 Ke6,Rd4 Ke5,Ra4 Ke6,Rd4 Ke5 /2-1/
"Anand, V.",2783,"Carlsen, M.",2868,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 Nf6,d3 d6,O-O Bd7,c3 g6,Re1 a6,Ba4,Nbd2 O-O,Nf1 Re8,Bb3 Be6,h3 Bxb3,Qxb3 Qd7,Bg5 Nh5,Rad1 h6,Bc1 Nf6,Ng3 Na5,Qc2 c5,d4 cxd4,cxd4 Rac8,Nxd4 Nc4,b3 Ne5,Qb1 h5,Bb2 h4,Nf1 d5,exd5 Nxd5,Ne3 Nxe3,Rxe3 Rcd8,Rde1 Nc6,Rxe8+ Rxe8,Rxe8+ Qxe8,Nxc6,Bxg7 Kxg7,Qb2+ f6,Qd2 g5,Qe2 Qc1+,Kh2 Qc7+,Kg1
"Anand, V.",2783,"Aronian, L.",2813,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,"""]",e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,d3 d6,c4 O-O,Nc3,Be3 Nd4,Bxd4 exd4,Nd5 c6,Nxf6+ Bxf6,h3 Bxf3,Qxf3 g6,Rae1 Bg7,Qd1 Qb6,Qd2 a5,f4 Qb4,Qc2 Qc5,Qf2 Rae8,Bd1,Bf3 Bh6,Qh4 Bxf4,Qxf4 fxe4,Qg3 exf3,Rxe8 Rxe8,Qxf3,Qxf5 gxf5,Rxf5 Re2,Rf2 Re1+,Rf1 Re2,Rf2 Re1+,Rf1
"Anand, V.",2783,"Karjakin, Sergey",2767,1/2-1/2,"""]"
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
