Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 Nf6,c4 e6,Nc3 Bb4,Nf3 b6,Bg5 h6,Bxf6 Bxc3+,bxc3,e4 Bb7,Bd3 d6,O-O e5,c5 O-O,Rb1 Rd8,Qc2,cxd6 cxd6,a4 Rac8,a5 d5,axb6 axb6,exd5 exd4,Nxd4 Bxd5,Bf5 g6,Bxd7 Rxd7,Qd2 Kh7,Rfe1 Ra8,Rb2,Nc2 Ra2,Ne3 Rxb2,Qxb2 Be6,Ra1 /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1-0,d4 d5,c4 dxc4,Nf3 Nf6,e3 e6,Bxc4 c5,O-O a6,Qe2,Bb3 Bb7,a4 Nbd7,Rd1 Be7,dxc5 O-O,Bc2 Bxc5,Ne5,Nxd7 Nxd7,Nd2 f5,Nb3 Bd5,Nd4 Bxd4,Rxd4 b3,Bd3,Bc4 Nc6,Rd2 Qb6,Bxd5 exd5,Rxd5 Nb4,Rd1 Nc2,Rb1 Qc6,Bd2 Qxa4,Bc3 Qb5,Qf3 Rad8,Qg3 Rd7,Rd6,Rbd1 f4,exf4 a5,f5 a4,f6 g6,h4 Rxd6,Qxd6,Qe6 1-0
Euwe Max (NED),0,Bogoljubow Efim D (UKR),0,0-1,d4 Nf6,c4 e6,Nc3 Bb4,Qc2 d5,a3 Be7,Bg5 h6,Bh4 Nbd7,e3 O-O,Nf3 c6,Rd1 Ne8,Bg3 Nd6,c5 Nf5,Bf4 b6,b4,bxc5 Qa5,Bd3 Nh4,Nxh4 Bxh4,Bd6 Re8,O-O e5,Bh7+ Kh8,Bf5 exd4,exd4 Nf8,Bxc8 Raxc8,Rd3 Bf6,Rfd1 Ne6,Ne2 Nxd4,Rxd4 Bxd4,Rxd4 Qe1# 0-1
Euwe Max (NED),0,Saemisch Friedrich (GER),2200,1-0,d4 Nf6,c4 e6,Nc3 Bb4,Qc2 c5,dxc5 Nc6,Nf3 Bxc5,Bg5,e3 Bb7,Be2 Be7,O-O Rc8,Rfd1 a6,Rac1 Na5,Ne5,b4 Bxb4,Bxf6 gxf6,Nxd7 Bd6,Nxf6+ Ke7,Nce4,Nxe4 Bxh2+,Kh1 Be5,f4 Bg7,Qd2 Nb7,Qe1 Nc5,Qh4+ f6,Nc3 Rhd8,f5 Qe5,fxe6 Rxd1+,Bxd1 Nxe6,Nd5+,Bg4 Rc6,Bxe6 Rxe6,Qxh7 Qg5,Rf1 Kf7,e4 Rc6,Rf5 Qh6+,Qxh6 Bxh6,e5 Rxc4,Rxf6+ Kg7,Rxb6 Ra4,e6 Rxa2,e7 Re2,Rxa6 Bg5,Ra8 Bxe7 1-0
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1-0,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,Ne5 Nbd7,Nxc4,g3 e5,dxe5 Nxe5,Bf4 Nfd7,Bg2 f6,O-O Rd8,Qc1,Ne4 Bb4,a5 O-O,a6 bxa6,Nxe5 Nxe5,Nc5 Bxc5,Qxc5 g5,Be3 Bd5,Rxa6 Bxg2,Kxg2 Rf7,Rfa1 Qd6,Qxd6,Rxa7 Rxa7,Rxa7 Nc4,Bc5 Re6,Bd4 Rxe2,Bxf6,Kf1 Rc2,Rg7+ Kf8,Rxg4 Nxb2,Bxb2 Rxb2,Rc4 Rb6,Ke2 Kf7,Rh4 Kg6,Rf4 Rb3,Rc4 Rb6,Ke3 Kf5,g4+,f4 Kd5,Rd4+ Ke6,f5+ Ke7,Re4+ Kf7,h4 Rb1,Kf4,Ra4 h6,Ra7+ Kg8,g5 Rc4+,Ke5 1-0
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1-0,d4 d5,c4 dxc4,Nf3 a6,e3 Nf6,Bxc4 e6,O-O c5,Qe2,Nc3 b5,Bb3 Be7,dxc5 Bxc5,e4 b4,e5 bxc3,exf6,Qc4 Qb6,Qxc3 Nd4,Nxd4 Bxd4,Ba4+ Ke7,Be3 Bxc3,Bxb6 Be5,Rad1 Kf8,f4 Bxb2,Rf3 Bb7,Rg3 Ba3,Rxa3,Rg3 Rxg3,hxg3 Bd5,Bb3 Bxb3,axb3 Ke8,b4 Rb8,Bc5 Rc8,Ra1 Rc6,Kf2 f5,Ke3 f6,Kd4 Kf7,Kc4 Kg6,Rd1 Kh5,Rd6 Rxd6,Bxd6 Kg4,Be7 Kxg3,Bxf6 Kxf4,Kc5 1-0
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,0-1,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,e3 e6,Bxc4,O-O Bd6,Qe2 Ne4,Nxe4 Bxe4,Nd2 Bg6,e4 Bc7,Bb3,f4 Nf6,Bc2 Qxd4+,Kh1 Qb4,g4 Rad8,f5 exf5,exf5,Qg2 Qxg4,fxg6 hxg6,Bd1 Qxg2+,Kxg2 Rd4,Nf3,Kh3 Rd8,Bg5 Rb4,Bd2 Re4,Bb3 Re2,Bc3 Rd3,Kh4,Rxf3 Rxh2+,Rh3 g5+,Kxg5 Rxh3,Bd1 Ne4+ 0-1
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,e3 e6,Bxc4,O-O Nbd7,Qe2 Ne4,Bd3 Bxc3,bxc3 Nxc3,Qc2 Bxd3,Qxd3 Nd5,Ba3 a5,Rab1 Nb4,Bxb4 axb4,Rxb4 O-O,Qc2,Rfb1 Rfb8,e4 Ra5,e5 h6,Nd2 c5,Nb3 Raa8,Rc4,f4 Qc6,dxc5 bxc5,Ra1 Qb6,Ra3 Qa7,Qf2 Nb6,Rxc5,Rc1 Qxf2+,Kxf2 Rb4,g3 Rd8,Ke2 Nb6,Nd2 g5,fxg5 hxg5,Rd3 Nd5,Rc4 Rxc4,Nxc4 Ra8,Ne3 Nxe3,Rxe3 /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,Ne5 e6,Bg5,f3 h6,Bxf6 gxf6,Nxc4 c5,dxc5 Qxd1+,Rxd1 Bc2,Rc1 Bb3,Nd2 Bxc3,Rxc3 Bxa4,e4 Ke7,Bd3 Rd8,Ke2,Ke3 Nb4,Bb1 Bb5,Nb3 f5,Na5 b6,cxb6 axb6,Nc4,Na3 Ba6,Rb3 Nd3,exf5 Nxb2,Rxb2 Rxa3+,Kf2 Rd6,fxe6 Rxe6 /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1-0,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,e3 e6,Bxc4,Qe2 Ne4,O-O Bb4,Bd3 Bxc3,Bxe4 Bb4,Bxf5 exf5,d5 cxd5,Qb5 Qa5,Qxb7 Rb8,Qc6 Qc5,Nd4 Rb6,Qxc5,a5 Ra6,Nc2 Bxa5,b4 Bxb4,Bb2 Ba5,Bxg7 Rg8,Be5 Nb3,Ra4 Rag6,Bg3 Bb6,Rf4 h5,Rh4 a5,Rxh5,Na3 d4,exd4 Nxd4,Re1+ Kd7,Kf1 Rc3,Nb1 Rc2,Rd1 Kc6,Rh6+ Rg6,Rh8 Kb7,Rf8 Rg7,Be5 Nf3,Rb8+,Rd7+ Bc7,Rxc7+ Kxb8,Rxc2+ Nxe5,Rc5 f6,Rxa5,Nd2 Rc2,Rd5 Kc7,Ke2 Rb2,h3 Kc6,Rd4 Kc5,Ke3,Rd8 Ne7,Kd3 Rb7,Ke3 Rb2,Rd3 Nd5+,Kf3 Nb4,Rc3+,Rb3 Rxb3+,Nxb3+ Ke5,g3 Nc6,h4 Nd8,Nc5 Nf7,Nd3+ Kd4,Ne1 Ke5,Nd3+ Ke6,Kf4 Nd6,Nc5+ Kf7,Nb3 1-0
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,e3 e6,Bxc4,O-O Nbd7,Qe2 Bg6,Bd3 Bxd3,Qxd3 O-O,Rd1 Qe7,e4,Bg5 h6,Bxf6 Qxf6,d5 Rfd8,dxc6 bxc6,Na2 Be7,b4 a5,Qc3 axb4,Nxb4 Nc5,Rxd8+ Rxd8,Qc4 Nxe4,Nxc6,Nxd2 Rxd2,Nxe7+ Qxe7,a5 Qf6,Rf1 Qd8,a6 Rd4,Qa2 Rd5,Qc4 Ra5,Rb1 Qa8,Qc7 Qxa6,Rb8+ Kh7,h3,Kh2 Qf6,Qc2+ g6,Rb3 Qf4+,g3 Qa4,Qd3 Ra2,Kg2,Qe3 Qc7,Qf3 Kg7,Qd5 Ra5,Rb5 Rxb5,Qxb5 Qc3,Qe8 Qd4,Qc6 Qd3,Qc5 Qe4+,Kg1 g5,g4 Qd4,Qc2,Kg2 h5,gxh5 e4,Qd1 Kh6,Qd4 Qf3+,Kg1 Kxh5,Qh8+,Qg8+ Kf6,Qd8+ Kf5,Qc8+ Ke5,Qb8+ /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1-0,d4 d5,c4 c6,Nf3 Nf6,Nc3 dxc4,a4 Bf5,e3 e6,Bxc4,O-O O-O,Qe2 Ne4,Bd3 Bxc3,bxc3 Nxc3,Qc2 Bxd3,Qxd3 Nd5,Ba3 Re8,Rab1 b6,Rfc1 a5,Ne5 Nb4,Bxb4,Nxc6 Nxc6,Rxc6 e5,Rxb4 exd4,Rxd4 Qb8,Qb5,g3 Rxc6,Qxc6 h6,Rb4 Ra6,Qb5 Qa8,Rd4 Qc8,Re4,Re7 Ra5,Qxb6 Qc1+,Kg2 Rf5,Qd4 Qc2,e4 Rf6,Re5,a5 Qe2,Qd5 Rc1,Qxf7 Qf1+,Kf3 Qd1+,Kf4 Qd2+,Kg4 1-0
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 Nf6,c4 e6,Nc3 Bb4,Nf3 Ne4,Qc2 d5,e3 c5,Bd3 Nf6,cxd5 exd5,dxc5 Bxc5,O-O Nc6,e4 Be7,e5 Ng4,Re1,Bb5+ Kf8,Qe2 Bc5,Nd1 Bf5,h3 h5,Bg5 Qb6,Nh4,hxg4 Nc2,Nc3 Nd4,Qf1 hxg4,Na4 Qc7,Rxe4 dxe4,Qc4 Rc8,Rc1 b6,Nxc5 bxc5,Ba6 Qxe5,Bxc8 Qxg5,Qxc5+,Rxc5 Rxh4,Rc4 Ne2+,Kf1 Nf4,Kg1 g3,Ba6 gxf2+,Kxf2 Rh6,Rxe4 Rxa6,Rxf4 Rxa2,Rb4 g6,Rb7 Kg7,Kf3,b4 Kg6,b5 f5,b6 Ra3+,Kf2 a6,Rb8 Rd3,b7 Rb3,Ra8 Rxb7,Rxa6+ /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,0-1,d4 Nf6,c4 e6,Nf3 b6,g3 Bb7,Bg2 Bb4+,Bd2 Be7,Nc3,O-O O-O,d5 Nxd2,Qxd2 Bf6,Rad1 d6,dxe6 fxe6,Nd4,Kxg2 Qc8,Qe3 Bxd4,Rxd4 Nc6,Re4 Rf6,f4 Qd7,g4 Raf8,g5 Rf5,h4 Qf7,Rf3 Kh8,Qd3 d5,Rxe6 Nb4,Qe3 Nc2,Qd2 Qxe6,cxd5 Qf7,Qxc2 Rxf4,Qd3 Qh5,Rxf4,Qh3 Rg4+,Kf2 h6 0-1
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,1/2-1/2,d4 Nf6,c4 e6,Nf3 b6,g3 Bb7,Bg2 Be7,O-O O-O,b3 d5,Ne5 c5,dxc5 bxc5,cxd5 exd5,Nc3 Nbd7,Nd3 Nb6,a4,Ba3 Rc8,Nb5 Ne4,Qe1 Nd7,Rd1 Nd6,Nf4 Nxb5,axb5,Nxd5 Nxd5,e4 c4,Bxe7 Qxe7,exd5 Qxe1,Rfxe1,d6 Bxg2,Kxg2 Rb8,d7 g6,Ra1 Rxb5,Re8 Rd5,Rxa5,Rxf8+ Kxf8,Rb5 Rd3,Rb7 Kg7,Rb6 g5,h3 h5,h4,Rb5 Kg6,Rg5+ Kh6,Rb5 f6,Kf1 Kg6,Ke2 Rf3,Ke1,Rb6+ Kf7,Rh6 f4,Rxh5 Rc3,Rb5 f3,Kd2 Rc2+,Ke3,Kf4 Rc4+,Ke3 Rc2 /2-1/
Euwe Max (NED),0,Alekhine Alexander A (RUS),0,0-1,d4 Nf6,c4 e6,Nc3 Bb4,e3 O-O,Nge2 d5,a3 Be7,cxd5,Ng3 c5,dxc5 Bxc5,b4 d4,bxc5 dxc3,Qc2 Qa5,Rb1,Rb3 Ba4,Qxc3 Qd8,Bc4 Na6,Bxa6 bxa6,O-O Bxb3,Qxb3 Rb8,Qc2 Qd5,e4 Qb3,Qe2 Qb5,Qf3 Qxc5,Nf5,Qf4 Nxe4,h4 Re8,Re1 Qc3,Rd1 Nd2,Rxd2 Rxc1+,Kh2 Qc7,Rd6 Rc5,g3 Rf8,g4 f6,Kh3 h5,Qd2 hxg4+,Kxg4 Qf7,h5 Rxf5,Kxf5 Qxh5+,Kf4 Qh4+,Kf3 Qh3+,Ke4 Re8+,Kd5 Qb3+,Kd4 Qxa3 0-1
