Steinitz Wilhelm (CZE),0,Meiners W,0,1-0,e4 e5,Bc4 Nf6,Qe2 Nc6,c3 Be7,f4 d6,Nf3 Bg4,d3 Qd7,O-O O-O,Bb3 Rfe8,f5 d5,Kh1 dxe4,dxe4 Bc5,Bg5,Nbd2 Ng8,Rad1 f6,Nc4 Qe7,Be3 Red8,Qf2 Bxe3,Nxe3 Bxf3,Qxf3 Rd7,Nd5 Qc5,Qh5 Na5,Nf4 1-0
Steinitz Wilhelm (CZE),0,Oudshoven WA,0,1-0,e4 e5,Bc4 Bc5,b4 Bxb4,f4 Bd6,Nf3 exf4,d4 Bb4+,c3,O-O Bb6,Bxf4 d6,Ng5 Be6,Bxe6 fxe6,Nxe6 Qf6,Qg4,Bg5 Qxf1+,Kxf1 Kf7,Nd2 Nc6,Ke2 Ke8,Nc4 h6,Nxb6,Nc7+ Kf7,Rf1+ Kg7,Ne6+ Kh7,Rf7# 1-0
Steinitz Wilhelm (CZE),0,Papot A,0,1-0,e4 e5,Nc3 Nf6,f4 d5,d3 d4,Nce2 Nc6,Nf3 Bd6,c3 Bg4,fxe5 Bxe5,Nxe5 Bxe2,Nxc6 bxc6,Bxe2 O-O,O-O Qd6,Kh1,Bf4 Ne5,Qe1 f6,cxd4 Qxd4,Qc3 Qxc3,bxc3 1-0
Steinitz Wilhelm (CZE),0,Reyne,0,1-0,e4 e5,Bc4 Bc5,b4 Bxb4,f4 Nc6,Nf3 exf4,c3 Ba5,d4,h4 f6,Nxg5 Qe7,Qh5+ Kf8,O-O Bb6,Bxf4 Nxd4,cxd4,Kh1 Bxa1,Bxc7 Kg7,Nd2 Nh6,Rxa1 d5,Bxd5 Bg4,Ne6+ Bxe6,Bf4 Nf7,Rf1 Bxd5,exd5 Ne5,Bh6+ Kg8,Ne4,Nxf6+ Kf7,Nxh7+ 1-0
Steinitz Wilhelm (CZE),0,Steffelaar M,0,1-0,e4 e5,Bc4 Nf6,f4 Nc6,fxe5 Nxe4,Nf3 d5,exd6 Bxd6,d4,O-O Bf5,c3 Qd7,Nbd2 Nf6,Nb3 Ne7,Nh4 Be4,Bg5,h3 h6,Bd2 Bh2+,Kh1 Nf2+,Rxf2 Bg3,Kg1 Bxf2+,Kxf2 Qc6,Nc5 Qf6+,Nf3 Bc6,Nd3 Bxf3,Qxf3 Qh4+,Kg1,Nf4 Ne7,Re1 Kh8,Qe4 1-0
Steinitz Wilhelm (CZE),0,Timmer,0,1-0,e4 e5,Nf3 Nc6,Bc4 Qe7,O-O Nf6,d4 d6,Ng5 Nd8,f4,Nf3 Nc6,Nc3 Bd7,fxe5 dxe5,Nd5 Nxd5,exd5 Na5,Nxe5,Nxc4 O-O-O,Ne5 Be8,c4 f6,Nd3 Qe4,Nf4 Bd6,Ne6 Rd7,Bf4 Qg6,c5 Bxf4,Nxf4 Qe4,Qd2 g5,Rae1,Nh5 Qxd5,Nxf6 Qxd4+,Qxd4 Rxd4,Nxe8 1-0
Steinitz Wilhelm (CZE),0,Van Dam R,0,1-0,e4 e5,d4 exd4,Qxd4 Nc6,Qe3 d6,Nc3 Nf6,Bd2 Be7,f4,f5 Bd7,Nf3 O-O,Bd3 Ng4,Qe2 Re8,O-O-O Bf6,h3,g4 h6,Nd5 Nxf3,Qxf3 Ne5,Qf1 c6,Nxf6+ Qxf6,g5 hxg5,Rg1 Nxd3+,cxd3 Qe5,Rxg5 f6,Rg6 Kh7,Qf3,Qh5+ Kg8,Rxg7+ Kxg7,Rg1+ Kf8,Qxh8+ 1-0
Steinitz Wilhelm (CZE),0,Van Der Elst J,0,1-0,e4 e5,d4 exd4,Qxd4 Nc6,Qe3 Bb4+,Nc3 Qe7,Bd2 Bxc3,Bxc3 Nf6,O-O-O d6,Nf3 Bg4,h3 Bxf3,gxf3 O-O-O,Rg1,Bb5 Kb8,Bxc6 bxc6,Rd3 Ka8,Rg5 c5,e5 Ne8,exd6,fxe3 cxd6,Rxc5 f6,Rcd5 Kb7,Bd4 Nc7,Rb3+,Ra5 a6,Bb6 Ra8,Bxc7 Kxc7,Kd2 Rab8,Rxb8 Kxb8,b4 Kc7,c4 Kb6,Kd3 Re8,a4 Re5,Rd5 Kc6,b5+ axb5,axb5+ Kd7,Rxe5 1-0
Steinitz Wilhelm (CZE),0,Van Der Elst J,0,1-0,e4 e5,f4 d6,Nf3 Nc6,Bb5 f5,exf5 Bd7,O-O e4,Re1,d3 Nf6,Nc3 Ne7,Bxd7+ Qxd7,dxe4 O-O-O,e5 Ng4,h3,hxg4 Bc5+,Kh2 Nh6,e6 Qe7,Ng5 d4,Nce4 Bb6,f5 Qf8,Qf3 Ng8,Bf4 h6,Nf7 Nf6,Nxf6 gxf6,Nxh8,e7 Re8,Qd5 h5,g5 fxg5,Bxg5 Qg7,Qd8+ Rxd8,exd8Q# 1-0
Steinitz Wilhelm (CZE),0,Van Der Linden Arthur (BEL),0,1-0,e4 e5,Nf3 Nf6,d4 exd4,e5 Nd5,Qxd4 c6,Bc4 Qb6,Qe4,Bxd5 cxd5,Qxd5 O-O,O-O Nc6,Nc3 Nb4,Qb3 Na6,Nd5,c4 Re8,Be3 d6,Bd4 dxe5,Bxe5 Qg6,Bg3 Bd6,Rfe1,Qxb7 Nc5,Qc6 Bxg3,hxg3 Kh8,Qxc5 Rec8,Qd4 Rd8,Ne5 Qf6,Rad1 Qh6,Re4 1-0
