Wilhelm Steinitz,?,Abraham Mocatta,?,1-0, e4 e5 2. Nc3 Bc5 3. f4 d6 4. Nf3 Nc6 5. Bb5 Bg4 6. d3 Nf6 7. h3 Bxf3, Qxf3 exf4 9. Bxf4 O-O 10. Bxc6 bxc6 11. Ne2 Rb8 12. d4 Bb4+ 13. c3 Ba5, b4 Bb6 15. Bg5 Re8 16. Bxf6 gxf6 17. Ng3 c5 18. Nh5 Re6 19. bxc5 dxc5, O-O Qd7 21. d5 Rd6 22. Qg3+ Kf8 23. Qg7+ Ke7 24. e5 Rxd5 25. Qxf6+ Ke8, Qh8+ Ke7 27. Rxf7+ Kxf7 28. Qg7+ Ke8 29. Nf6+
Wilhelm Steinitz,?,Jean Dufresne,?,1-0, e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 Qh5+ 6. Nf3 g5 7. Nd5 Kd8, Kf2 d6 9. h4 Bg7 10. c3 h6 11. Bd3 Qg6 12. hxg5 hxg5 13. Rxh8 Bxh8 14. g3 f5, Qh1 Bg7 16. Nxg5 Qxg5 17. Bxf4 Qg6 18. Qh4+ Nce7 19. Bg5 Qf7 20. Nxe7 Nxe7, exf5 Kd7 22. g4 Ng8 23. Re1 Kc6 24. d5+ Kb6 25. Be3+ c5 26. Qd8+ Qc7, Qxg8 Bxf5 28. Qxa8 Bxd3 29. Qe8 Be5 30. Bf4 Bb5 31. Qf8 Qh7 32. Bxe5 dxe5, Qf6+ Ka5 34. Qxe5 Qh4+ 35. Qg3 Qf6+ 36. Kg1
Wilhelm Steinitz,?,Karl Kockelkorn,?,1-0, e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Nf3 Nc6 6. Bb5 Be7 7. O-O O-O, Qe1 f5 9. d3 Nxc3 10. bxc3 Be6 11. d4 Na5 12. Qg3 c6 13. Ng5 Qd7 14. Bd3 b5, a4 a6 16. Nxe6 Qxe6 17. Qh3 g6 18. Bh6 Rf7 19. axb5 axb5 20. Qg3 Bf8, Bg5 Bg7 22. h4 h5 23. Bd2 Raa7 24. Qg5 Nc4 25. Rxa7 Rxa7 26. Bc1 Rf7, g4 hxg4 28. h5 gxh5 29. Bxf5 Qe7 30. Qxh5 Bxe5 31. dxe5 Nxe5 32. Bg5 Qc5+, Kh1 Qc4 34. Rf4 Qxc3 35. Bh6 Qa5 36. Rxg4+ Nxg4 37. Qxg4+ Kh8 38. Bg7+ Kg8, Bc3+
Wilhelm Steinitz,?,George Frith Barry,?,1-0, e4 e5 2. Nc3 Bc5 3. f4 Bxg1 4. Rxg1 d6 5. d4 exd4 6. Qxd4 Nf6 7. Be3 O-O, h3 Nc6 9. Qd2 Re8 10. g4 Nxe4 11. Nxe4 Rxe4 12. O-O-O Qe7 13. Bf2 Qf6, f5 Ra4 15. Kb1 b5 16. Bd3 Rb8 17. g5 Qe7 18. f6 Qe6 19. b3 Ra3 20. Rde1 Ne5, Bc5 Ra6 22. Qf4 g6 23. Qh4 Qxh3 24. Qd4 Bf5 25. Rh1 Qg4 26. Bxf5 Qxd4, Bxd4 Nf3 28. Bxg6 Nxe1 29. Bxh7+ Kf8 30. Bf5 Kg8 31. g6 d5 32. g7 Rxf6, Bxf6
Wilhelm Steinitz,?,William Bolt,?,1-0, e4 e5 2. Nc3 Nc6 3. Bc4 Bb4 4. Nf3 d6 5. O-O Nf6 6. d3 O-O 7. Bg5 Bxc3, bxc3 h6 9. Bh4 Qe7 10. Qd2 Be6 11. Bb3 Rad8 12. Rae1 Kh7 13. d4 Bc8, Qe3 a6 15. Nd2 g5 16. Bg3 Ng4 17. Qd3 h5 18. f3 Nh6 19. h3 f6 20. Nc4 Qg7, Ne3 Kh8 22. Bf2 Ne7 23. Qd2 Ng6 24. Nd5 Nf4 25. Nxf4 gxf4 26. Kh2 c6, Bh4 Ng8 28. g3 fxg3+ 29. Bxg3 Ne7 30. f4 Ng6 31. f5 Ne7 32. Rg1 Qh7, Bh4 b5 34. dxe5 dxe5 35. Qxd8
Wilhelm Steinitz,?,P Long,?,1-0, e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Bf5 5. Nf3 e6 6. Bc4 Bb4 7. O-O Bxc3, bxc3 h6 9. Ne5 Nf6 10. Ba3 Nd5 11. Qd2 Ne7 12. f4 O-O 13. Rae1 c6 14. g4 Bh7, f5 exf5 16. gxf5 Nxf5 17. Bxf8 Qxf8 18. Nxf7 Nd7 19. Nxh6+ Kh8 20. Nf7+ Kg8, Qg5 Nb6 22. Be6 Qe7 23. Rxf5 Qxg5+ 24. Rxg5 Bxc2 25. Rh5 g6 26. Ng5+ Kg7, Rh7+ Kf6 28. h4 Rf8 29. Bg4 Bf5 30. Bxf5
Wilhelm Steinitz,?,Francis Burden,?,1-0, e4 e5 2. Nc3 c6 3. f4 d5 4. fxe5 d4 5. Nce2 Bg4 6. d3 Nd7 7. Nf3 Bxf3, gxf3 Qh4+ 9. Ng3 Nxe5 10. Bg2 Bd6 11. O-O g6 12. Qe1 Nf6 13. Bd2 h5, Nf5 Nxf3+ 15. Rxf3 Qxh2+ 16. Kf1 gxf5 17. e5 O-O-O 18. Bf4 Ng4, Bxh2 Nxh2+ 20. Kf2 Bxe5 21. Rxf5 Ng4+ 22. Kg1 Rde8 23. Qa5 Bh2+ 24. Kh1 Bc7, Qxa7 Re7 26. Raf1 f6 27. Bh3 Re2 28. R5f2 Re3 29. Bxg4+ hxg4+ 30. Kg1 Reh3, Rxf6 Rh1+ 32. Kf2 g3+ 33. Ke2 Re8+ 34. Kd2 g2 35. Qa8+ Bb8 36. Rxc6+ bxc6, Qxc6+ Kd8 38. Rxh1 gxh1=Q 39. Qxh1 Bf4+ 40. Kd1 Be3 41. b4
Wilhelm Steinitz,?,George Frith Barry,?,1-0, e4 e5 2. f4 Bc5 3. Nf3 d6 4. Bc4 Nf6 5. d3 Bg4 6. fxe5 dxe5 7. Bxf7+ Kf8, Bb3 Nc6 9. c3 Qd6 10. Qe2 Rd8 11. Bc2 Bxf3 12. Qxf3 Kf7 13. Bg5 Rhf8, Nd2 b5 15. O-O-O Kg8 16. Nb3 Bb6 17. Qh3 Ne7 18. d4 Ng6 19. Rhf1 c6, Rf5 Qe7 21. Rdf1 Bc7 22. Nc5 Rd6 23. Nd3 Rdd8 24. dxe5 Bxe5 25. Nxe5 Nxe5, Qg3 Ng6 27. e5 Nxe5 28. Rxe5 Qd6 29. Rd1 Qc7 30. Bxf6 Rxf6 31. Re8+
Wilhelm Steinitz,?,Valentine Green,?,1-0, e4 c5 2. Nf3 Nc6 3. Nc3 e6 4. d4 cxd4 5. Nxd4 Bc5 6. Ndb5 Qb6 7. Nd6+ Kf8, Bc4 Bxf2+ 9. Ke2 Nd4+ 10. Kxf2 Nf5+ 11. Ke2 Nxd6 12. Be3 Qc7 13. Bb3 b6, Bf4 Ba6+ 15. Ke1 Ke7 16. Qd2 Qc6 17. Nd5+ exd5 18. Bxd5 Nxe4 19. Qb4+
Wilhelm Steinitz,?,Cecil Valentine De Vere,?,1-0, e4 g6 2. d4 Bg7 3. Nf3 b6 4. Bd3 e6 5. Nc3 Bb7 6. Be3 d6 7. Qd2 Nd7, O-O-O Ne7 9. h4 h5 10. Ng5 e5 11. Bc4 O-O 12. g4 exd4 13. Bxd4 Bxd4, Qxd4 Ne5 15. Be2 hxg4 16. h5 Nd5 17. exd5 Qxg5+ 18. Kb1 Rae8 19. Rdg1 c5, Qa4 Qf5 21. Qxa7 Bxd5 22. Nxd5 Nc6 23. Qa4 Qxd5 24. hxg6 Re4 25. gxf7+ Kxf7, Qa6 Nb4 27. Qa7+ Ke6 28. Bb5 Rf7 29. Rh6+ Ke5 30. Rh5+ Ke6 31. Rxd5 Rxa7, Rd2 c4 33. Rgd1 d5 34. a3 Ra5 35. axb4 Rxb5 36. c3 Ke5 37. Ka2 Kf4, Rd4 Kf3 39. Ka3
Wilhelm Steinitz,?,Charles R Baxter,?,1-0, e4 e5 2. f4 Bc5 3. Nf3 d6 4. Bc4 Nf6 5. d3 Bg4 6. c3 O-O 7. h3 Bxf3, Qxf3 exf4 9. Bxf4 h6 10. Nd2 Nc6 11. d4 Bb6 12. Bb3 Ne7 13. Bxh6 Ng6, Bg5 c5 15. Qf5 Nh8 16. dxc5 Bxc5 17. O-O-O Re8 18. Nf3 Rc8 19. e5 Qa5, Bxf6 gxf6 21. Qg4+ Kf8 22. exf6 Ng6 23. h4 Ba3 24. bxa3 Qxc3+ 25. Kb1 Re2, Qd4 Rb2+ 27. Ka1 Rxb3+ 28. Qxc3 Rbxc3 29. Rxd6 Nf4 30. Rhd1 Ne6 31. Ng5 R3c6, Nxe6+ fxe6 33. Rxc6 Rxc6 34. g4 Kf7 35. g5 e5 36. h5 a5 37. Rf1 e4, g6+ Kf8 39. f7 Rc8 40. h6
Wilhelm Steinitz,?,George Brunton Fraser,?,1-0, e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. Ne5 Qh4+ 6. Kf1 Nh6 7. d4 f3, Nc3 fxg2+ 9. Kxg2 Qh3+ 10. Kg1 d6 11. Nd3 g3 12. Nf4 gxh2+ 13. Rxh2 Rg8+, Ng2 Qg3 15. Qf1 Be6 16. Bxe6 fxe6 17. Bxh6 Bxh6 18. Kh1 Qg5 19. Qb5+ Nd7, Qxb7 Ke7 21. e5 dxe5 22. d5 Raf8 23. dxe6 Rf2 24. Ne4 Qf5 25. Nxf2
