Steinitz Wilhelm (CZE),0,Albin Adolf (ROM),0,1-0,d4 f5 2.c4 e6 3.Nc3 Bb4 4.e3 Nf6 5.Bd3 O-O 6.Nge2 d6 7.O-O,Nd5 Nxd5 9.cxd5 Nd7 10.Qa4 Qh4 11.Qxb4 Rf6 12.Ng3 Nc5 13.Rd1,h3 Ne4 15.dxe5 a5 16.Qd4 dxe5 17.Qxe5 Bd7 18.Bxe4 fxe4,Qxe4 Qf6 20.Qd4 Qf7 21.e4 Rg6 22.e5 Bb5 23.a4 Ba6 24.Ra3 Rd8,e6 Qe8 26.Nf5 c6 27.Rg3 1-0
Steinitz Wilhelm (CZE),0,Bird Henry E (ENG),0,0-1,d4 d5 2.c4 e6 3.Nc3 c6 4.e3 Nd7 5.Nf3 Bd6 6.e4 dxe4 7.Nxe4,Nc3 Ndf6 9.Bd3 Qa5 10.Bd2 Ne7 11.O-O O-O 12.a3 Bxc3 13.Bxc3,Ne5 Rd8 15.Qe2 b6 16.b4 Bb7 17.f4 Nf5 18.Qf2 c5 19.dxc5,Qxc5 Qxc5+ 21.bxc5 Be4 22.Rfd1 Rdc8 23.c6 Bxd3 24.Rxd3,Bb4 a5 26.Rad1 axb4 27.c7 g5 28.Rd8+ Kg7 29.axb4 Ne3 30.Rxc8,Rd4 f5 32.Rd7+ Kh6 33.fxg5+ Kxg5 34.h4+ Kf6 35.Nc6 Rg8 0-1
Steinitz Wilhelm (CZE),0,Burn Amos (ENG),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5,cxd5 exd5 9.Bd3 Nc6 10.O-O Be6 11.Rc1 Rc8 12.Bb1 Qa5 13.Nd2,Nb3 Qd8 15.Qd3 Qd7 16.Rfd1 Rfd8 17.Qe2 Qe8 18.Nb5 Bg4,f3 Be6 20.Bc7 Rd7 21.Bg3 Rdd8 22.a3 Kh8 23.Be1 Nd7 24.Bc3,Qd3 Qg8 26.Na5 d4 27.Nxc6 bxc6 28.Nxd4 c5 29.Qa6 cxd4,Bxd4 Rxc1 31.Rxc1 Rc8 32.Rc3 Rxc3 33.bxc3 Qb8 34.Qd3 f5 35.g4,gxf5 Nxa3 37.fxe6 Qxb1+ 38.Qxb1 Nxb1 39.Kf2 Kg8 40.c4,c5 Nb5 42.f4 Nxd4 43.exd4 Kf8 44.Ke3 Ke8 45.Kd3 Kd8 46.f5,Kc4 a6 48.d5 Bf8 49.c6 Be7 50.Kb3 Kd6 51.Ka4 Bd8 52.Kb3,fxg6 hxg6 54.h3 1/2-1/2
Steinitz Wilhelm (CZE),0,Mason James (ENG),0,1-0,e4 e5 2.Nf3 d6 3.Bc4 Be7 4.c3 Nf6 5.d3 O-O 6.Nbd2 Nc6 7.Bb3,Bc2 d5 9.Qe2 Bd6 10.Nf1 a6 11.Ng5 Qd7 12.Ne3 dxe4 13.dxe4,f3 Bc5 15.Nxe6 Qxe6 16.Bb3 Qc6 17.g4 Bxe3 18.Bxe3 Ng6,O-O-O Rad8 20.h4 Rxd1+ 21.Rxd1 Re8 22.h5 Nf8 23.h6 g6 24.g5,Bd5 Qa4 26.Bxb7 Qxa2 27.Qxa6 Qb3 28.Bd5 Qb8 29.Qa2 Re7,Qa8 Qxa8 31.Bxa8 Ne6 32.Bd5 Nf4 33.Bc6 Nf8 34.Bc5 1-0
Steinitz Wilhelm (CZE),0,Mieses Jacques (GER),0,1/2-1/2,d4 d5 2.c4 dxc4 3.e3 e5 4.Nc3 exd4 5.exd4 Nf6 6.Bxc4 Be7 7.Nf3,O-O b6 9.Ne5 Bb7 10.Qb3 Qe8 11.Re1 Nc6 12.Nxc6 Qxc6 13.d5,h3 a6 15.a4 Qb4 16.Bf4 Qxb3 17.Bxb3 Bb4 18.Bxc7 Bxc3 19.bxc3,c4 Rfc8 21.Bxb6 Bxc4 22.Bd1 Rab8 23.Bd4 Bb3 24.Be2 Rb4,Bxa6 Ra8 26.Bxf6 gxf6 27.Bb5 Bxa4 28.Bd3 Rd8 29.Re3 Rbd4 30.Be2,Bf1 Bc2 1/2-1/2
Steinitz Wilhelm (CZE),0,Pollock William (USA),0,0-1,e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7 5.d4 Bb6 6.a4 a5 7.O-O d6,d5 Nd8 9.Bd3 Nf6 10.Na3 c6 11.Nc4 Bc7 12.Ne3 Nh5 13.g3 g6 14.b4,Ng2 cxd5 16.exd5 Nf7 17.Re1 O-O 18.Nd4 Qf6 19.Nb5 Bb6 20.bxa5,Be2 Ng7 22.Bd2 Bd7 23.Rf1 Rac8 24.c4 Bb6 25.Be3 Bxe3,fxe3 Ng5 27.Nc3 f4 28.Qc2 f3 29.Nh4 Nf5 30.Rxf3 Nxf3+ 31.Nxf3,Qb1 Nxc4 33.Ne4 Qd8 34.Qxb7 Na5 35.Qb4 Bg4 36.Rf1 Bh3,Re1 Rb8 38.Qxd6 Qxd6 39.Nxd6 Rb2 40.Bd1 Rg2+ 41.Kh1 Rf2 42.Ne4,Bxf3 Rxf3 44.d6 Rf1+ 45.Rxf1 Bxf1 46.Kg1 Bd3 47.Nf6+,Nxh7 Ke6 49.Kf2 Kxd6 50.Ke3 Bc2 51.h4 Nc4+ 52.Ke2 Kd5,g4 Kd4 54.Nf8 Bd3+ 55.Ke1 Ke3 56.h5 gxh5 57.gxh5 Be2 58.Nd7
Steinitz Wilhelm (CZE),0,Tarrasch Siegbert (GER),0,0-1,d4 f5 2.c4 e6 3.Nc3 Bb4 4.e3 Nf6 5.Bd3 b6 6.Nge2 Bb7 7.O-O,f3 Nc6 9.e4 fxe4 10.fxe4 e5 11.Nd5 Be7 12.Nxf6+ Rxf6 13.Rxf6,d5 Ne7 15.Ng3 g6 16.c5 Kh8 17.Be3 Ng8 18.Qc1 Qe7 19.cxb6,Qc7 d6 21.Qxe7 Bxe7 22.a4 Bd8 23.Ne2 a6 24.Nc1 Ne7 25.Nb3,Rf1 Nc8 27.Nd2 Be7 28.Be2 Bd8 29.Bg4 b5 30.Be6 Bf6 31.a5,h4 gxh4 33.Bh6+ Kg6 34.Bg4 Ne7 35.Be3 Rf8 36.Rc1 Bc8 37.Be2,g3 h5 39.Rc7 Rg8 40.Kh2 Rf8 41.Bd1 Ng8 42.Rc6 Be7 43.Nf3,Nh4+ Kf7 45.Bf3 Bg4 46.Bh1 Bd7 47.Rc7 Rc8 48.Rxc8 Ng4+,Kg1 h2+ 50.Kf1 Nxe3+ 51.Ke2 Bxc8 52.Kxe3 b4 53.Nf3 Bd8 54.Nxh2,Bf3 Kg6 56.Be2 Bb6+ 57.Kd2 a5 58.Bb5 Bf2 59.Nf1 Bh3 60.Ke2,Kxf1 Bxg3 62.Be8+ Kg5 63.Kg2 Be1 64.Kf3 h4 65.Bd7 a4,Bxa4 h3 67.Bd7 h2 68.Kg2 Bg3 69.Be8 Kf4 70.Bh5 Ke3 71.b3 Bf4,Bg6 Kd3 0-1
Steinitz Wilhelm (CZE),0,Tinsley Samuel,0,1-0,d4 Nf6 2.c4 c5 3.d5 d6 4.Nc3 g6 5.e4 Bg7 6.Bd3 O-O 7.Nge2 Nbd7,Nf4 Ne5 9.Be2 b6 10.h4 h5 11.f3 Rb8 12.Nh3 a6 13.a4 Re8 14.Nf2,Bg5 exd5 16.Nxd5 Be6 17.Ne3 Qd7 18.Nh3 Nc6 19.Bf4 Bxh3,Rxh3 Nd4 21.Bd3 Rb7 22.Kf2 Ne6 23.Bg3 Bh6 24.Nd5 Nxd5 25.cxd5,Bxf4 Bxf4 27.Bxa6 Be5 28.Bxb7 Bd4+ 29.Kf1 Qxb7 30.Qb3,Rb1 Qa6+ 32.Qb5 Qxa4 33.Qxa4 Rxa4 34.f4 Rb4 35.b3 c4 36.Ke2,Kd2 Bf6 38.Re3 c3+ 39.Kc2 Bd4 40.Re2 Rb5 41.b4 f5 42.Kd3 1-0
Steinitz Wilhelm (CZE),0,Vergani B,0,1-0,e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Nce2 c5 6.c3 cxd4 7.cxd4,f4 Bb4+ 9.Nc3 O-O 10.Nf3 f6 11.a3 Bxc3+ 12.bxc3 a6 13.a4,Bd3 Qc7 15.Qc2 f5 16.g4 g6 17.gxf5 exf5 18.h4 Nb6 19.h5,hxg6 h6 21.Qh2 Rh8 22.Qh4 Qd8 23.Ba3 Nc6 24.Qh5 Nc4 25.Nh4,Nxf5+ Bxf5 27.Qxf5 Qf8 28.Qd7+ Qe7 29.Qxd5 Rad8 30.Qb3,Qxa3 Qxa3 32.Rxa3 Rxf4 33.Ke2 Ne7 34.Rb1 Rd7 35.Rab3,c4 Rxd4 37.cxd5 R4xd5 38.Rxb7 Rxd3 39.e6 Rd2+ 40.Ke1 Rd1+,Rxd1 1-0
Steinitz Wilhelm (CZE),0,Von Bardeleben Kurt (GER),0,1-0,e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 5.d4 exd4 6.cxd4 Bb4+ 7.Nc3,exd5 Nxd5 9.O-O Be6 10.Bg5 Be7 11.Bxd5 Bxd5 12.Nxd5 Qxd5,Bxe7 Nxe7 14.Re1 f6 15.Qe2 Qd7 16.Rac1 c6 17.d5 cxd5 18.Nd4,Ne6 Rhc8 20.Qg4 g6 21.Ng5+ Ke8 22.Rxe7+ Kf8 23.Rf7+ Kg8,Rg7+ Kh8 25.Rxh7+ Kg8 26.Rg7+ Kh8 27.Qh4+ Kxg7 28.Qh7+ Kf8,Qh8+ Ke7 30.Qg7+ Ke8 31.Qg8+ Ke7 32.Qf7+ Kd8 33.Qf8+ Qe8 34.Nf7+,Qd6# 1-0
Steinitz Wilhelm (CZE),0,Chigorin Mikhail I (RUS),0,0-1,d4 d5 2.Nf3 Nf6 3.c4 e6 4.Nc3 Be7 5.Bf4 c6 6.e3 Nbd7 7.h3 O-O,Bd3 dxc4 9.Bxc4 Nd5 10.Bh2 Qa5 11.Rc1 N7b6 12.Bb3 Bb4 13.Qc2,bxc3 Ba3 15.Rd1 Nd5 16.Rd3 e5 17.e4 Nxc3 18.O-O exd4,Rxd4 Nb5 20.Ra4 Qb6 21.Ng5 Qc5 22.Qd2 h6 23.Nf3 Qe7 24.e5,Rh4 Bb4 26.Qc2 Kh8 27.Bf4 f5 28.exf6 Rxf6 29.Bg5 Bf5 30.Qc1,a4 Nc3 32.Kh1 Bd3 33.Re1 Ne2 34.Qd1 Bxe1 35.Qxd3 Rxf3,gxf3 Qxg5 37.Rg4 Nc1 38.Qe4 Qf5 0-1
Steinitz Wilhelm (CZE),0,Chigorin Mikhail I (RUS),0,1-0,d4 d5 2.c4 dxc4 3.Nf3 e6 4.e3 Bb4+ 5.Bd2 Bxd2+ 6.Nbxd2 Nf6,Bxc4 O-O 8.O-O Nbd7 9.Nb3 Qe7 10.Rc1 Rd8 11.Bd3 c6 12.Qd2 Nf8,Na5 Ng6 14.Rfd1 Rb8 15.Nc4 Bd7 16.e4 Be8 17.e5 Nd5 18.Bxg6,Nd6 f6 20.h4 Nb6 21.Qf4 Bf7 22.Nd2 Rf8 23.Qg3 Rbd8 24.N2e4,Rd3 Be8 26.Rb3 b6 27.Ra3 fxe5 28.Qxe5 Nf4 29.Re1 Qxh4,g3 Nh3+ 31.Kg2 Qe7 32.Kxh3 g5 33.Nxe8 Rd5 34.Qxg7+ 1-0
Steinitz Wilhelm (CZE),0,Chigorin Mikhail I (RUS),0,0-1,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd2 Bd6 7.Bd3,O-O Re8 9.e4 dxc4 10.Bxc4 Bc7 11.Qb3 c5 12.d5 Ne5 13.Nxe5,Rfe1 a6 15.a4 Qc7 16.h3 Rb8 17.a5 b5 18.axb6 Rxb6 19.Qc2,Na4 Rb8 21.Bc3 exd5 22.exd5 Bb7 23.Qd3 Bxd5 24.Bxd4 cxd4,Bxd5 Nxd5 26.Qxd4 Nf4 27.Nc3 Red8 28.Qe3 h6 29.Rxa6 Qb7 30.Qxf4,Re7 Qg6 32.b4 Rbc8 33.Re3 Rd3 34.Ne4 Rxe3 35.fxe3 Rc2,Ng3 Qc6 37.Ne4 Rc4 38.Qb8+ Qc8 39.Qe5 Qe6 40.Qb8+ Kh7 41.Ng3,Kh2 Rc1 43.h4 Rc4 0-1
Steinitz Wilhelm (CZE),0,Lasker Emanuel (GER),0,1-0,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4 Be7 5.e3 O-O 6.c5 Ne4 7.Nxe4,Qc2 f5 9.Bc4 Nc6 10.a3 Bf6 11.O-O-O Kh8 12.f3 Qe7 13.Bg3,Qxe4 fxg3 15.hxg3 g6 16.Qxg6 Bd7 17.f4 Rf7 18.g4 Rg7 19.Qh6,Bd3 Rg7 21.Nf3 Qf7 22.g4 Rag8 23.g5 Bd8 24.Rh2 Rg6 25.Qh5,Rdh1 Qxh5 27.Rxh5 Rf8 28.Rxh7+ Rxh7 29.Rxh7+ Kg8 30.Rxd7,Bc4 1-0
Steinitz Wilhelm (CZE),0,Lasker Emanuel (GER),0,0-1,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4 Be7 5.e3 O-O 6.Rc1 c5 7.dxc5,cxd5 exd5 9.Nf3 Nc6 10.Bd3 d4 11.exd4 Nxd4 12.O-O Bg4,Nb5 Bxf3 14.gxf3 Ne6 15.Be5 Nh5 16.Kh1 Qg5 17.Bg3 Rad8 18.Qc2,Rcd1 Rc8 20.Qb3 a6 21.Nc3 Nd4 22.Qxb7 Nxg3+ 23.fxg3 Rb8,Qxa6 Rb6 25.Qc4 Rxb2 26.h4 Ba7 27.Be4 Qd6 28.f4 Qd7 29.Bg2,Qd3 Nf5 31.Ne4 Be3 32.Rf3 Rxg2 33.Kxg2 Nxh4+ 34.Kh2 Nxf3+,Kg2 Nh4+ 36.Kh2 Nf5 37.Rb1 h5 38.Rb5 Ra8 39.a3 Rxa3 0-1
Steinitz Wilhelm (CZE),0,Pillsbury Harry N (USA),0,1-0,e4 e5 2.Nf3 Nf6 3.d4 exd4 4.e5 Ne4 5.Qe2 Bb4+ 6.Kd1 d5 7.exd6,Ng5 O-O 9.Qc4+ Kh8 10.Qxb4 Nc6 11.Qa3 Nxf2+ 12.Ke1 Nxh1,dxc7 Qe8+ 14.Be2 f4 15.Kf1 Bd7 16.Nd2 Ne5 17.Ndf3 Ng4 18.Bd3,Bxh7 Bb5+ 20.Kg1 Qe2 21.Bd2 Nd1 22.Bd3 Bxd3 23.Qxd3 Qxd3,cxd3 Nxb2 25.Rb1 Nxd3 26.Rxb7 Nc5 27.Rb5 Na6 28.Ne6 Rf6 29.Nfxd4,Rh5+ Kg8 31.Rg5 Ne3 32.Nxg7 Rc8 33.Nge6+ Kh8 34.Ba5 Rf7,Ne2 Rf5 36.Bc3+ Kh7 37.Rg7+ Kh6 38.N2xf4 Nxc7 39.Rg6+ Kh7,Ng5+ Rxg5 41.Rxg5 Ne8 42.Bd4 Nd1 43.Rh5+ Kg8 44.Rh8+ Kf7 45.Rh7+,Re7 Rd8 47.Ne6 Rc8 48.h4 Nc3 49.Bxc3 Rxc3 50.Rxe8+ Kf7,Ra8 Kxe6 52.Rxa7 Kf5 53.Ra4 Rc2 54.Kh2 Rd2 55.Kh3 Rd3+ 56.g3,Ra5+ Kg6 58.a4 Rc4 59.Ra6+ Kh5 60.g4+ 1-0
Steinitz Wilhelm (CZE),0,Pillsbury Harry N (USA),0,1-0,e4 e5 2.Nf3 Nf6 3.d4 exd4 4.e5 Ne4 5.Qxd4 d5 6.exd6 Nxd6 7.Bg5,Bf4 Nc6 9.Qd2 Bf5 10.Be2 Qe7 11.O-O O-O-O 12.Re1 Ne4 13.Qc1,Bd3 Bh6 15.Nc3 gxf4 16.Bxe4 Bxe4 17.Rxe4 Qg7 18.Qf1 Rhg8,Rae1 Qg4 20.Kh1 Bf8 21.Re8 Bb4 22.Rxd8+ Nxd8 23.h3 Qg6 24.Nd5,c4 Nc6 26.Re6 Rf8 27.Qe2 Kd7 28.c5 Qb1+ 29.Kh2 Qf5 30.Nxf6+,Rxf6 Qxf6 32.cxd6 cxd6 33.Qb5 Kc7 34.b3 a5 35.Qd3 h6,Qd2 b5 37.a4 b4 38.Qd5 Qb2 39.Kg1 Qc1+ 40.Kh2 Qb2 41.Kg1 Qc1+,Kh2 Qb2 43.Nd2 Qd4 44.Qf7+ Kb6 45.Nc4+ Kc5 46.Qc7 Qxc4 47.bxc4,Qf7 Nb4 49.Qxf4 Na2 50.Qd2 Kxc4 51.f4 Nc3 52.f5 Ne4 53.Qe2+,f6 Nxf6 55.Qb2+ Kc4 56.Qxf6 d5 57.Qc6+ Kb4 58.Qb5+ Ka3,Qxa5 b2 60.Qb5 d4 61.Kg3 Ka2 62.Kf3 b1Q 63.Qxb1+ Kxb1 64.Ke4 1-0
