Jose Raul Capablanca,?,Faith Donaldson,?,1/2-1/2, d4 d5 2. c4 e6 3. Nf3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nbd2 h6 7. Bxf6 Bxf6, cxd5 exd5 9. Rc1 c6 10. Bd3 Be6 11. Qb3 Qb6 12. O-O Qxb3 13. Nxb3 Nd7, Na5 Rab8 15. b4 Bd8 16. Nb3 Bb6 17. Rc2 a6 18. Rfc1 Rbc8 19. Ne1 Nf6, Nc5 Bxc5 21. Rxc5 Ne4
Jose Raul Capablanca,?,Alexander Alekhine,?,1/2-1/2, d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7 5. e3 c6 6. Qc2 Qa5 7. cxd5 Nxd5, e4 Nxc3 9. Bd2 Qa4 10. Qxc3 a5 11. Nf3 Bb4 12. Qc1 O-O 13. a3 Bxd2+, Qxd2 e5 15. Rc1 exd4 16. Rc4 Qb5 17. Rxd4 Qc5 18. Be2 Qe7 19. O-O Nc5, Qe3 Bg4 21. h3 Bxf3 22. Bxf3 Rfd8 23. Rfd1 Ne6 24. Rxd8+ Rxd8 25. Qa7 Rxd1+, Bxd1 Qc7 27. Bb3 h6 28. Bxe6 fxe6 29. Qd4 c5 30. Qc4 Qe5 31. f4 Qxf4, Qxe6+ Kh7 33. Qd5 Qc1+ 34. Kh2 Qf4+
Jose Raul Capablanca,?,Alexander Alekhine,?,1/2-1/2, d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7 5. e3 Be7 6. Nf3 O-O 7. Rc1 a6, cxd5 exd5 9. Bd3 c6 10. Qc2 h6 11. Bh4 Ne8 12. Bg3 Bd6 13. O-O Bxg3, hxg3 Nd6 15. Na4 Re8 16. Rfe1 Nf6 17. Ne5 Nfe4 18. Qb3 Be6 19. Nc5 Nxc5, dxc5 Nb5 21. a4 Nc7 22. Bb1 Bc8 23. Nf3 Ne6 24. e4 dxe4 25. Rxe4 Re7, Rce1 Bd7 27. Qc2 g6 28. Ba2 Qf8 29. Ne5 Qg7 30. Nxd7 Rxd7 31. Bxe6 fxe6, Rg4 Kh7 33. Rxe6 Rg8 34. Qe4 Rf7 35. f4 Qf8 36. Rgxg6 Qxc5+ 37. Kf1 Qc1+, Kf2 Qd2+
Jose Raul Capablanca,?,Mariano Viana,?,1/2-1/2, e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 d6 7. Bg5 Bxc3, bxc3 h6 9. Bh4 Bg4 10. h3 Bxf3 11. Qxf3 g5 12. Bg3 Nd7 13. d4 Qe7, Rad1 Kg7 15. Qf5 Rad8 16. f3 Qf6 17. Qxf6+ Kxf6 18. Bf2 Kg6 19. Rb1 Nb6, h4 f6 21. g4 Rb8 22. Kg2 Kg7 23. Be3 Na5 24. Bd3 Nac4 25. Bc1 a5 26. Kf2 Rh8, Be3 Nxe3 28. Kxe3 Nd7 29. Bc4 Nf8 30. Bd5 b6 31. a3 Nd7 32. Be6 Rhd8, Bxd7 Rxd7 34. d5 c5 35. Kd3 Kf7 36. Kc4 Ke7 37. Kb5 Rc7
Jose Raul Capablanca,?,Mariano Viana,?,1/2-1/2, e4 e5 2. Nc3 Nf6 3. Bc4 Bc5 4. d3 d6 5. Bg5 Be6 6. Qf3 Nbd7 7. Nge2 h6, Bxf6 Nxf6 9. O-O O-O 10. Bxe6 fxe6 11. Qh3 Qe7 12. Kh1 Rf7 13. f4 exf4, Nxf4 e5 15. Ncd5 Nxd5 16. Nxd5 Qd7 17. Qxd7 Rxd7 18. Rf3 c6 19. Nc3 Rf8, Raf1 Rdf7 21. h3 g6 22. Nd1 Kg7 23. Rxf7+ Rxf7 24. Rxf7+ Kxf7 25. g3 d5, Kg2 Kf6 27. Kf3 a5 28. exd5 cxd5 29. Ne3 Bxe3 30. Kxe3 b6 31. c4 Ke6, b3 Kd6
Jose Raul Capablanca,?,Arthur Stedman Jameson,?,1/2-1/2, e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O d6 6. Bxc6+ bxc6 7. d4 exd4, Nxd4 c5 9. Nf3 Bb7 10. Re1 Be7 11. Nc3 O-O 12. Bg5 Re8 13. Qd3 Nd7, Bxe7 Qxe7 15. Nd5 Bxd5 16. Qxd5 Ne5 17. Nxe5 Qxe5 18. Qxe5 Rxe5 19. Re3 Kf8, f3 Rae8 21. Rae1 f5 22. c4 fxe4 23. Rxe4 Rxe4 24. fxe4 Ke7 25. Kf2 Ke6, Ke3 Rf8 27. Rd1 Ke5 28. Rd5+ Ke6 29. e5 Rf5 30. exd6 cxd6 31. Rd3 Rf7, Ra3 Rb7 33. b3 Rb6 34. Ra5 Ke5 35. g3 h6 36. Kd3 g6 37. Ke3 Kf5 38. h3 h5, Kf3 Ke5 40. h4 Kf5 41. Ra4 g5 42. hxg5 Kxg5 43. Ra5
Jose Raul Capablanca,?,Isaac Starr,?,1/2-1/2, d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7 5. Nf3 Bb4 6. e3 b6 7. cxd5 Bxc3+, bxc3 exd5 9. Bb5 O-O 10. Bc6 Rb8 11. Bxd5 Bb7 12. Bxb7 Rxb7 13. Qc2 c5, O-O Qc7 15. Qd3 Re8 16. Bxf6 Nxf6 17. Ne5 Qd6 18. f4 Rbe7 19. Rf3 Nd5, Rh3 g6 21. f5 Nc7 22. fxg6 fxg6 23. Qc4+ Qd5 24. Qxd5+ Nxd5 25. e4 Nxc3, Rxc3 cxd4 27. Rd3 Rxe5 28. Rxd4 Rxe4 29. Rd7 R8e7 30. Rad1 Rxd7 31. Rxd7 Ra4, Rd2 a5 33. Rb2 Rb4 34. Rxb4 axb4 35. Kf2 Kf7 36. Ke3 Ke6 37. Kd4 Kd6, Kc4 Kc6 39. Kxb4 b5 40. g4 h5 41. gxh5 gxh5 42. Kb3 Kc5 43. Kc3
Jose Raul Capablanca,?,William Kurtz Wimsatt,?,1/2-1/2, e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. Nf3 Bf5 7. Bd3 Bxd3, Qxd3 e6 9. Bf4 h5 10. O-O-O Bh6 11. Bxh6 Rxh6 12. Rhe1 Qa5 13. Kb1 Nd7, d5 cxd5 15. Qxd5 Qxd5 16. Rxd5 O-O-O 17. Ra5 a6 18. g3 Nb6 19. Kc1 Rd5, Rxd5 Nxd5 21. a3 Rh8 22. Re4 f5 23. Rh4 f6 24. c4 Ne7 25. Rd4 Rd8, Rxd8+ Kxd8 27. b4 Kd7 28. Kc2 Nc6 29. Kc3 Kd6 30. Nd4 Ne5 31. h3 Nf7, f4 Nd8 33. a4 b6 34. Nb3 Nb7 35. Kd4 e5+ 36. Kc3 Kc6 37. Nc1 Nd6, b5+ axb5 39. axb5+ Kc7 40. Nd3 Ne4+ 41. Kb4 Nxg3 42. fxe5 fxe5 43. Nxe5 Ne4, Ng6 Ng5 45. Nf4 h4 46. Kc3 Kd6 47. Kd3 Kc5 48. Ng6 Nxh3 49. Nxh4 Nf4+, Ke3 Kxc4 51. Kxf4 Kxb5
Jose Raul Capablanca,?,George Hallwegen,?,1/2-1/2, e4 e6 2. d4 g6 3. Nf3 Bg7 4. Bd3 Ne7 5. Bg5 d6 6. Qd2 Nd7 7. O-O O-O, Bh6 Nf6 9. Bxg7 Kxg7 10. Nc3 Nc6 11. e5 Nd7 12. Qf4 d5 13. Ne2 Ne7 14. Ng3 c6, Qg5 Ng8 16. Qg4 Qe7 17. Ng5 Re8 18. f4 Nf8 19. f5 exf5 20. Bxf5 Nh6, Qh4 Bxf5 22. Nxf5+ Nxf5 23. Qf4 Ne6 24. Nxe6+ Qxe6 25. Rf3 h5 26. Raf1 Qe7, h3 Rf8 28. g4 hxg4 29. hxg4 Nh6 30. Kg2 Qe6 31. Qf6+ Kg8 32. Rg3 Nxg4, Qxe6 fxe6 34. Rxg4 Kg7 35. Rh1 Rh8 36. Rxh8 Rxh8 37. b4 Rf8
Jose Raul Capablanca,?,Alexander Alekhine,?,1/2-1/2, d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7 5. e3 c6 6. Bd3 Qa5 7. Bh4 dxc4, Bxc4 b5 9. Bb3 Bb7 10. Nf3 c5 11. dxc5 Bxc5 12. O-O O-O 13. Nd4 a6 14. Qe2 b4, Na4 Bxd4 16. exd4 Nd5 17. Bg3 Bc6 18. Qc2 Bxa4 19. Bxa4 Rac8 20. Qd1 N7b6, Bc2 Nc4 22. b3 Na3 23. Bd3 Nb5 24. Be5 f5 25. Bc4 Rfd8 26. Re1 Qb6, Qd2 Qb7 28. Bxd5 Qxd5 29. Qxb4 Rc2 30. Qe7 Qd7 31. Qxd7 Rxd7 32. Kf1 Kf7, a4 Nc3 34. Rac1 Rxc1 35. Rxc1 Nd5 36. Rc6 Ra7 37. a5 g5 38. h3 h5 39. Ke2 g4, Rc8 Rb7 41. Rb8 Rxb8 42. Bxb8
Jose Raul Capablanca,?,Lloyd H Campbell,?,1/2-1/2, e4 e5 2. Nf3 Nc6 3. Bb5 Nd4 4. Nxd4 exd4 5. O-O c6 6. Bc4 Bd6 7. c3 dxc3, bxc3 Bc7 9. d4 Ne7 10. Bg5 h5 11. Qf3 f6 12. Bxf6 gxf6 13. Qxf6 Rf8, Qg5 d5 15. Qxh5+ Rf7 16. exd5 cxd5 17. Bb5+ Bd7 18. Bd3 Be6 19. Re1 Qd6, Bb5+ Nc6 21. Qh4 Kd7 22. Nd2 Rg8 23. Nb3 b6 24. g3 Rgg7 25. Qh8 Qf4, Bxc6+ Kd6 27. Re2 Bg4 28. Bxd5 Bxe2 29. Bxf7 Qxf7 30. Re1 Bb5 31. Nd2 Bc6, Nc4+ Kd7 33. Ne5+ Bxe5 34. Rxe5 Rh7 35. Qb8 Qf3 36. Qxa7+ Kc8 37. Qa6+ Kd7, Qa7+ Kc8
Jose Raul Capablanca,?,George W Averill,?,1/2-1/2, e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Nc3 d6 7. Bxc6+ bxc6, d4 exd4 9. Nxd4 Bd7 10. Re1 O-O 11. Bg5 c5 12. Nf5 Bxf5 13. exf5 Re8, Qf3 Rb8 15. b3 Nd7 16. Bxe7 Rxe7 17. Nd5 Re5 18. Rad1 c6 19. Ne3 d5, Qg3 Qe7 21. f4 Re4 22. Ng4 Re8 23. Rxe4 Qxe4 24. f6 g6 25. f5 Ne5, Nh6+ Kf8 27. h3 Qe2 28. Rf1 Qd2 29. Qh4 Qd4+ 30. Qxd4 cxd4 31. fxg6
