Spassky Boris V (FRA),2548,Yuhtman Jacov (RUS),0,1-0,d4 Nf6,c4 e6,Nc3 Bb4,e3 O-O,a3 Bxc3+,bxc3 c5,Bd3,cxd5 exd5,Ne2 b6,a4 Ba6,Ba3 Qc8,O-O Re8,Ng3,Qxd3 c4,Qc2 g6,Rae1 h5,f3 Qc6,Qf2 Nbd7,Bc1,e4 h4,Nh1 dxe4,fxe4 Rxe4,Rxe4 Qxe4,Bg5 h3,gxh3 Rf8,Ng3 Qd3,Bxf6 Nxf6,Qxf6 1-0
Spassky Boris V (FRA),2548,Filip Miroslav (CZE),2465,0-1,d4 e6,c4 f5,Nc3 Nf6,e3 Bb4,Bd2 b6,Qc2 Bb7,f3 O-O,Bd3 c5,Nge2 Nc6,a3 Ba5,O-O-O Rc8,g4 cxd4,exd4,dxe5 Nxe5,Bxf5 Bxf3,g5 Bxe2,Nxe2 Nxc4,Nc3 Kh8,gxf6 Qxf6,Bxd7 Rc7,Nd5 Bxd2+,Rxd2 Qf3,Rhd1 Rc5,Rd3 Qf7,Nc3 Qf4+,Kb1 Ne3,Rxe3 Qxe3,Rd2 Rd8,Re2,Ba4 Re5,Rf2 Qc5,Ka2 a6,Rd2 Rf8,Qd3 b5,Bc2,Ne4 Qc4+,Qxc4 bxc4,Rd7 Rh5,Rd2 Kg7,Ng3 Rh4,Be4 a5,Kb1 Rhf4,Bb7 Rb8,Rd7+ Kh6,Kc2 Rf2+,Kc3,Ne4 g5,Nd6 g4,Nf7+ Kg6,Ne5+ Kf5,Nxc4 h5,Kd4,Rf7+ Kg3,b4 axb4,axb4 Rf2,Rg7 h4,Ne3 Rf4+,Kc5 h3,b5 h2,Bh1 Re8,Nxg4 Rxg4,Rxg4+ Kxg4,b6,Ba8 Kf5,Bg2 Rg1,b7 Rxg2,b8Q h1Q,Qf8+ Ke4,Qa8+,Qa3+ Kf4,Qb4+ Kg5,Qb5 Qh3 0-1
Spassky Boris V (FRA),2548,Golombek Harry (ENG),2320,1-0,d4 Nf6,c4 e6,Nc3 Bb4,Bg5 c5,d5 h6,Bh4 e5,e3 d6,Bd3 b5,cxb5 g5,Bg3 Bb7,Nge2 Nxd5,O-O Nd7,Be4,Bxd5 Bxd5,Qxd5 Bxb2,Rad1 Ba3,Qxd6 Qe7,Qc6,Nc3 O-O,Nd5 Qe6,Qxe6 fxe6,Ne7+ Kf7,Nc6 Ke8,Rd3 Bb2,Rfd1 1-0
Spassky Boris V (FRA),2548,Milev Zdravko (BUL),2230,0-1,d4 Nf6,c4 g6,Nc3 d5,cxd5 Nxd5,e4 Nxc3,bxc3 Bg7,Bc4,Ne2 O-O,O-O cxd4,cxd4 Nc6,Be3 Bg4,f3 Bd7,Rb1,Qd2 Na5,Bd3 a6,Bg5 f6,Bf4 e5,dxe5 fxe5,Bg5,Bxf6 Rxf6,Qc3 Rd6,Bc4+ Nxc4,Qxc4+ Be6,Qc5,Nc3 Qb6,Qxb6 Rxb6,Rfd1 Rc8,Nd5 Bxd5,Rxd5 Rc2,a4 b4,a5 Rb7,Rd6 b3,Rb6 Rd7,R6xb3 Rdd2,Rb8+,R8b7+ Kh6,Re7 Rxg2+,Kh1 Rxh2+,Kg1 Rcg2+,Kf1,Kg1 Kg5,Rxe5+ Kf4,Rc5 Kxf3,Rb3+ Kf4,e5 Rhe2,Rb4+ Kf5,Rb1 Rg2+,Kh1 Rh2+,Kg1 Rag2+,Kf1 Rc2,Rxc2,e6 Kxe6,Rb6+ Kf5,Rxa6 Ra2,Ra8 h5,a6 g5,Rf8+,Rf6 h4,Rb6 h3,Kg1 Kg3,Rb3+ Kh4,Rb6 g4,Rb4,Kh2 Ra2+,Kh1 Re2,Kg1 Kg3,Rb1 Kf3,Rf1+ Ke3,Rf8 Rg2+ 0-1
Spassky Boris V (FRA),2548,O'kelly De Galway Alberic (BEL),2460,1/2-1/2,d4 Nf6,c4 e6,Nc3 Bb4,e3 c5,a3 Bxc3+,bxc3 b6,Bd3,f3 Nc6,Ne2 O-O,e4 Ne8,Be3 d6,f4 f5,Ng3 Qh4,exf5 exf5,O-O g6,Rb1 Na5,Re1 Qd8,Nf1 Nf6,d5,Nd2 Re8,Qf3 Qd7,Bf2 Rxe1+,Bxe1 Re8,h3 Qe7,Bf2 Ne4,Bxe4 fxe4,Qe3 Nxc4,Nxc4 Bxc4,f5 gxf5,Bg3,Rd1 h6,Rd2 Kh7,Kh2 Rg8,Rf2 Rg6,Rd2 b5,Bf4,Bg3 a4,Rf2 Bd3,Qf4 Qxc3,Qxf5 e3,Qd7+ Rg7,Rf7,Qe6 c4,Rxg7+ Kxg7,Qe7+ Kg8,Qe6+ Kh7,Be1 Qg7,Bb4 /2-1/
Spassky Boris V (FRA),2548,Radulescu Constantin (ROM),2350,1-0,d4 Nf6,c4 e6,Nc3 d5,Bg5 c5,e3 cxd4,exd4 Be7,Nf3,Bd3 dxc4,Bxc4 a6,O-O b5,Bb3 Bb7,Qd3 Nbd7,Rad1,Rfe1 Rad8,Qe2 Nb6,Ne5 Nfd5,Ne4 f6,Rc1 Qb8,Nc5 fxg5,Nxe6 Rd6,Nxf8 Bxf8,Qh5 g6,Qxg5 Kh8,Rc5,Rc7 Rd7,Rxd7 Nxd7,Bxd5 Bxd5,Nxg6+ Qxg6,Qxd5,Qe6 Bb4,Rc1 Bd2,Rc8+ Kg7,Rc7+ Kh6,g3 Ba5,Rf7,Kg2 Qe4+,Qxe4 Nxe4,Ra7 Be1,Re7 Bxf2,Rxe4 1-0
Spassky Boris V (FRA),2548,Reicher Emanoil (ROM),2310,1-0,d4 d5,c4 c6,Nc3 Nf6,Nf3 e6,Bg5 h6,Bxf6 Qxf6,e4,Nxe4 Bb4+,Ke2 Qf4,Qd3 f5,Nc3 Nd7,g3 Qg4,h3,Bg2 O-O,g4 Qf7,gxf5 exf5,a3 Re8+,Kd2 Bd6,Rae1,Rxe8+ Qxe8,Re1 Qh5,c5 Bf8,Bf1 Bd7,Qe3 Rd8,Bc4+ Kh8,Ne5 Be8,Kc2 g5,f4 gxf4,Qxf4 Qg5,Rf1,Rxf4 Bg7,Bf7 Kh7,Be6 Bg6,Nxg6 Kxg6,Bxf5+,Ne2 Nd5,h4+ Kf6,Rf3 Ke7,Be4 Bf6,Ng3 Nc7,Nf5+,Nd6 b6,Bf5+ Kd5,Bh3 Rf8,Bg2 Kxd4,cxb6 axb6,Rd3+ Ke5,Nc4+ Kf5,Nxb6 Nd5,Nd7 1-0
Spassky Boris V (FRA),2548,Sajtar Jaroslav (CZE),0,1/2-1/2,d4 Nf6,c4 g6,Nc3 d5,cxd5 Nxd5,e4 Nxc3,bxc3 Bg7,Bc4,Ne2 Nc6,h4 Na5,Bd3 c5,Be3 cxd4,cxd4 Nc6,e5,Kf1 Rd8,h5 Be6,hxg6 hxg6,Nf4 Nxd4,Bxd4 Rxd4,Nxe6 fxe6,Qb3 Qxe5,Re1 Qd5,Bxg6 Qxb3,axb3 Rc8,Rh3 Rc6,Rf3 Bf6,Be4 Rb6,Bd3 Kf8,Bc4 Rdd6,Rfe3,Rg3 e6 /2-1/
Spassky Boris V (FRA),2548,Smyslov Vassily (RUS),2494,1-0,d4 Nf6,c4 e6,Nc3 Bb4,Bg5 h6,Bh4 c5,d5 exd5,cxd5,e3 Nbd7,Bb5 O-O,Nge2 Ne5,O-O Ng6,Bg3 Nh5,Bd3,Nxg3 Ne5,Be2 Bxc3,bxc3 Qh4,f4 Ng4,Bxg4 Bxg4,Qa4 Bc8,e4 Qg4,Qc2 h5,Rf2 b5,e5 h4,Nf1 Bf5,Qd2 dxe5,fxe5 Bg6,Re1 h3,d6 Be4,Ne3 Qe6,Rf4,Nf5 Rfe8,Re3 Rad8,Nxg7 Rxd6,Nxe6 1-0
Spassky Boris V (FRA),2548,Szabo Stefan,0,1-0,d4 d5,c4 e6,Nc3 c6,Nf3 dxc4,a4 Bb4,e4 b5,Qc2 Nf6,Bg5 Bxc3+,bxc3 h6,Bh4 g5,Bg3 a6,Be2 Bb7,h4 g4,Nd2 Nh5,Be5 Rg8,Rb1 Qe7,Bxc4 Nd7,Bg3 Nb6,axb5,Bd3 Nxg3,fxg3 Qc7,Kf2 Rc8,Rhc1 e5,Nb3 Rg6,d5 Na4,c4 bxc4,Bxc4 Qb6+,Ke2 Rf6,Rf1 Rxf1,Kxf1,Na5 Nb6,Qb2 Nxc4,Nxc4 Rxc4,Qxe5+ Kd8,Qd6+,Qe5+ Kd8,Qf6+ Ke8,Qh8+ Kd7,Rxb7+ Rc7,Rxc7+,Qe5+ Kb6,Qb8+ Ka5,Qc7+ Kb4,d6 Qd3+,Kg1 Qxg3,Qb6+ Kc3,Qc5+ Kb3,Qd5+ Kc3,Qc5+ Kb3,Qf5 Qe1+,Qf1,d7 g3,Qd3+ Kb2,Qd4+ Kc2,d8Q 1-0
Spassky Boris V (FRA),2548,Tolush Alexander (RUS),0,1/2-1/2,d4 Nf6,c4 d6,Nc3 e5,dxe5 dxe5,Qxd8+ Kxd8,Nf3 Nbd7,Bg5 Bb4,Rc1 Re8,e3 c6,Be2 Kc7,Bxf6 Nxf6,a3 Bxc3+,Rxc3 Bg4,Nd2 Bxe2,Kxe2 /2-1/
Spassky Boris V (FRA),2548,Paschaian Melik,0,1-0,e4 e6,d4 d5,Nc3 Bb4,e5 c5,Qg4 Ne7,dxc5 Bxc3+,bxc3,Nf3 Nbc6,Bd3 Ng6,Qh5 Nce7,h4 Qa5,O-O Bd7,Qg4,h5 Bxd3,cxd3 Qxc3,hxg6 Qxa1,gxh7+ Kh8,Bg5,Kxf1 Nf5,Bf6 Rac8,Nd4 gxf6,exf6 1-0
Spassky Boris V (FRA),2548,Estrin Yakov B (RUS),2450,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,Qe2 Be7,c3 b5,Bc2,O-O d5,d3 d4,Nbd2 Bg4,h3 Bh5,Rd1 dxc3,bxc3,Bb2 b4,Ba4 Rab8,cxb4 Bxb4,Bxc6 Qxc6,Nc4 Nd7,g4 Bg6,Nfxe5 Nxe5,Nxe5 Qb5,a4 Qe8,Rdc1 Bd6,Nc6,Qc2 f5,e5 Be7,Nxe7+ Qxe7,Ba3 Qh4,Bxf8 Qxh3,Qxc7 Qxg4+,Kf1 Qh3+,Ke1 Qh1+,Kd2 Qh6+,Kc2 Be8,Bc5 Rc6,Qe7 1-0
Spassky Boris V (FRA),2548,Krogius Nikolai V (RUS),2485,1-0,e4 c5,Nf3 d6,d4 cxd4,Nxd4 Nf6,Nc3 a6,Bg5 e6,Qf3,O-O-O Qc7,Qg3 Nc6,Nxc6 bxc6,f4 h6,Bxf6 gxf6,Qg7 Rf8,Bc4 d5,exd5 Qxf4+,Kb1 Qxc4,d6 Qf4,dxe7,h4 Rb8,Rhf1 Qe5,Ka1 Rb4,Qxh6 f5,Qg5+ f6,Qd2,Rfe1 Rd4,Qf2 Rxd1+,Rxd1 Bb7,Re1 Be4,g4 Qd4,Qg3 Qd6,Qf2 Qd4,Qf1 Rb8,a3 Bxc2,gxf5 e5,Qxa6,Rg1 Bb3,Ne4 Rf8,Rg7+ 1-0
Spassky Boris V (FRA),2548,Gusev Nikolay Nikolaevich,0,1-0,e4 c5,Nf3 Qa5,Bc4 Nc6,Qe2 g6,O-O Bg7,c3 d6,d4 cxd4,cxd4 Bg4,d5 Ne5,Bd2 Qb6,Bc3 Nf6,Bxe5 dxe5,Nc3,Qe3 Qxe3,Bb5+ Bd7,Bxd7+ Kxd7,fxe3 f5,exf5,Ng5 f4,Ne6 Bh6,exf4 Nxf4,Nc5+ Kc7,N5e4 Rad8,Rad1 Ng6,Rf7 Be3+,Kh1 Kb6,d6 e6,g3 h6,Rd3 Bd4,Na4+ Kb5,Rxb7+ Kc4,Rd1 Rb8,Rc7+ Kb5,Nac5 Nf8,a4+,Rd3 Bxc5,Rb3+ 1-0
Spassky Boris V (FRA),2548,Levin Naum L (AUS),2420,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,Qe2 b5,Bb3 Be7,c3,h3 Bb7,d3 d5,O-O d4,cxd4 Nxd4,Nxd4 Qxd4,Be3,Nc3 a5,f4 exf4,Rxf4 a4,Bc2 b4,Nd1 Ba6,Rc1,Qf3 c5,Bb1 Nd7,Nf2 Rad8,Rf5 Bf6,Ng4 Bxb2,Rf1,Nxe5 Bxe5,Bxc5 Bd4+,Bxd4 Rxd4,Qf2 Qd7,Bc2,Bxa4 Qa7,Rc1 Bxe4,Rf4 Qxa4,Qxd4 Bg6,Ra1 Rb8,a3 h6,axb4 Qc2,Re1 Ra8,Rf2 Qb3,Rb2 Qg3,Qc5,b5 1-0
Spassky Boris V (FRA),2548,Kholmov Ratmir D (RUS),2422,1/2-1/2,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,Qe2 b5,Bb3 Be7,a4,axb5 axb5,d4 d5,c3 Nxe4,Nxe5 Nxe5,dxe5 O-O,O-O,Be3 Qd7,Nd2 Nc5,Bxc5 Bxc5,Nf3 b4,Ba4 Qe6,Nd4,cxd4 b3,Bb5 c6,Bd3 Rb4,Bxf5 Qxf5,Qd2 Rc4,Rfc1 h6,f3 c5,Rxc4 dxc4,Rc1 cxd4,Rxc4 Qxe5,Rxd4,Rd5 Qe6,Rd6 Qe7,h3 Rc8,Rd7 Qe8,Kh2 Rc2,Qd3+,Qd4 Re2,Rb7 Qe6,Rb8 Qe5+,Qxe5 Rxe5,Rxb3 h5,h4 Re2,Kg3 f6,f4 g5,fxg5 fxg5,Rb7+ Kg6,Rb6+,hxg5 Re4,Kf3 Rg4,g6 Kh6,b3 Rd4,Ke3 Rg4,Kf3,Re6 Rb4,Re3 Kxg6,Ke2 Kf5,Kd2 Rb8,Kc3 Rc8+,Kb2 Rb8,Re2 Kf4,Kc3 Rc8+,Kd4 Rd8+,Kc5 Re8,Kd6,Rb2 Kg3,b4 h4,Kc7 Rf8,b5 Rf2,Rb4 Rxg2,b6,b7 Rf7+,Kd6 Rxb7,Rxb7 h3 /2-1/
Spassky Boris V (FRA),2548,Ragozin Viacheslav V (RUS),0,1/2-1/2,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,Qe2 b5,Bb3 Bc5,c3,O-O Be6,Rd1 Bxb3,axb3 O-O,d4 Bb6,Bg5 h6,Bh4,d5 Nb8,Nbd2 Nbd7,Nf1 Rfc8,b4 Qf8,N3d2 g6,Qf3,Ne3 Rf8,Kh1 Nh7,g4 f6,Rg1 Ng5,Qg2 c5,Nc2,Nxb4 Nc5,Bg3 Qd7,h4 Nf7,Qf3 Kg7,Bh2 a5,Nc6,Nxd8 Raxd8,h5 g5,Nf1 Nb3,Rd1 a4,Ng3 Bc5,Rg2,Qd3 b4,f4 bxc3,fxe5 fxe5,Nf5+ Kh7,Qxc3 Rbc8 /2-1/
Spassky Boris V (FRA),2548,Taimanov Mark E (RUS),2393,1/2-1/2,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 b5,Bb3 Na5,Bxf7+ Kxf7,Nxe5+,Qf3 Nf6,Nc3 Qe8,d4 Bb7,Bf4 Kd8,O-O-O Be7,Ng4,Qxg4 Qg6,Qxg6 hxg6,f3 Nc4,b3 g5,Bg3 Nd6,Rhe1,Na4 Bc6,Nc5 Nb5,d5 Bxc5,dxc6 d6,Rd5 a5,Rxg5,Kd2 axb3,axb3 Ra2,e5 Nd4,exd6 Rxc2+,Kd1 cxd6,Rxg7 Rc3,Bh4+ Kc8,Bf6 Rd3+,Kc1 Nxc6,Kc2 Rd5,h4,Rg5 Rxg5,hxg5 Rh2,Re2 Nd4+,Bxd4 Bxd4,Kd3 Bc3,Ke4 Kc7,Kd5 Kd7,Ra2 Rh1,Ra7+ Ke8,f4 Kf8,f5,Ra8+ Ke7,Ra7+ /2-1/
Spassky Boris V (FRA),2548,Flohr Salomon M (CZE),0,1/2-1/2,d4 d5,c4 dxc4,Nf3 Nf6,e3 c5,Bxc4 e6,O-O cxd4,exd4,Nc3 a6,a3 Be7,Bg5 O-O,Qd3 h6,Bh4 Nh5,Bxe7,Ne5 Nf6,Rad1 b5,Ba2 Bb7,f4 Qb6,g4 Rad8,Bb1,Nxc6 Qxc6,Qh3 Qb6,Qd3 g6,g5 hxg5,fxg5 Nh5,Qe3 e5,Qxe5 Rfe8,Qc5 Qe6,d5 Qg4+,Kh1 Rxd5,Rxd5,Qg1 Qxg1+,Kxg1 Nxd5,Ba2 Re5,h4 Kf8,Bxd5 Bxd5,Rf4 Be6,Kf2 Rc5,Rd4 Ke7,Ke3 Rc8,Kf4 Rc5 /2-1/
Spassky Boris V (FRA),2548,Kan Ilya A (RUS),0,1/2-1/2,e4 c5,Nf3 e6,d4 cxd4,Nxd4 a6,Nc3 Qc7,Be2 Nf6,O-O,Be3 b5,a3 Bb7,Kh1 Be7,f4 d6,Bf3 O-O,Qe1 Nd7,Qg3 Bf6,Nde2 Nb6,Rad1 Nc4,Bc1 b4,e5 dxe5,Ne4,fxe5 Rad8,b3 Rxd1,Rxd1 Nb6,Nf6+ Bxf6,exf6,Nxg3 bxa3,Bxa3 Rd8,Rxd8+ Nxd8,Ne4 e5,fxg7,Be7 Nc6,Nc5 Nxe7,Nxb7 Ned5,Be2 Nc7,c4 f5,Kg1 Kf6,Kf2 Nd7,Ke3 Nb8,Na5 Ne6,g3 Nd4,Bf3
Spassky Boris V (FRA),2548,Keres Paul (EST),2580,1/2-1/2,d4 Nf6,c4 e6,Nc3 Bb4,Nf3 d5,Bg5 h6,Bh4 dxc4,e3,a4 c6,Be2 Nbd7,O-O Qb6,e4 Bb7,Qc2 a6,Rad1,d5 Bxc3,Qxc3 O-O,a5 Qc7,d6 Qc8,e5 Nd5,Qc1,Rfe1 f6,exf6 N7xf6,Ne5 Qxd6,Ng6 Rf7,Bf3 Re8,Ne5 Rff8,Ng6 Rf7,Ne5 Rff8,Ng6 /2-1/
Spassky Boris V (FRA),2548,Petrosian Tigran V (ARM),2580,1/2-1/2,e4 c5,Nf3 d6,d4 cxd4,Nxd4 Nf6,Nc3 a6,Bg5 e6,Qf3,Bh4 Nbd7,O-O-O Ne5,Qe2 g5,Bg3 Bd7,h4 Rg8,hxg5,Nf3 Qc7,Qe3 Be7,Be2 b5,a3 Rb8,Nd4 Qc5,b4,Bxe5 dxe5,Nb3 Rc8,Rd3 g4,Kb1 Bc6,f3 g3,Qh6,Qh7 Nf6,Qh6 Qa7,Bd1 Nd7,Qh7 Rg6,Qh8+ Bf8,f4,Bh5 Rg7,Nd4 Ke7,Nd5+ Bxd5,exd5 Nf6,Re1 e5,Nc6+ Rxc6,dxc6 Qc7,Bf3 Rh7,Qxh7 Nxh7,Rd7+ Qxd7,cxd7 Kxd7 /2-1/
Spassky Boris V (FRA),2548,Smyslov Vassily (RUS),2494,1/2-1/2,d4 Nf6,c4 e6,Nf3 b6,Nc3 Bb7,Bg5 h6,Bh4 Bb4,e3 Qe7,Qc2 Bxc3+,Qxc3 d6,Bxf6 Qxf6,Be2 Nd7,O-O O-O,Rfd1,Rac1 c5,b4 Qe7,bxc5 dxc5 /2-1/
Boris Spassky,?,Tigran Vartanovich Petrosian,?,1/2-1/2,e4 c5,Nf3 d6,d4 cxd4,Nxd4 Nf6,Nc3 a6,Bg5 e6,Qf3 h6,Bh4 Nbd7,O-O-O Ne5,Qe2 g5,Bg3 Bd7,h4 Rg8,hxg5 hxg5,Nf3 Qc7,Qe3 Be7,Be2 b5,a3 Rb8,Nd4 Qc5,b4 Qc7,Bxe5 dxe5,Nb3 Rc8,Rd3 g4,Kb1 Bc6,f3 g3,Qh6 Nd7,Qh7 Nf6,Qh6 Qa7,Bd1 Nd7,Qh7 Rg6,Qh8+ Bf8,f4 exf4,Bh5 Rg7,Nd4 Ke7,Nd5+ Bxd5,exd5 Nf6,Re1 e5,Nc6+ Rxc6,dxc6 Qc7,Bf3 Rh7,Qxh7 Nxh7,Rd7+ Qxd7,cxd7 Bg7
