Emanuel Lasker,?,K Akkerman,?,1-0, e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Nc3 e6 7. Bd3 Bd6, O-O h6 9. Qe2 Qc7 10. h3 O-O 11. Re1 Re8 12. Ne4 Nxe4 13. Qxe4 Nf6, Qh4 Be7 15. Bxh6 Nh7 16. Qg4 Bf8 17. Bf4 Qd7 18. Bxh7+ Kh8 19. Qh5
Emanuel Lasker,?,Max Rosen,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 Nge7 4. O-O Ng6 5. c3 Bc5 6. d4 exd4 7. cxd4 Be7, d5 Nce5 9. Nxe5 Nxe5 10. f4 Ng6 11. e5 c6 12. Ba4 cxd5 13. Qxd5 O-O, f5 Nh8 15. Bf4 Qb6+ 16. Kh1 Qxb2 17. Nd2 Rb8 18. Rab1 Qa3 19. Bc2 b6, Ne4 Bb7 21. Qd1 Rbc8 22. Bd3 Ba6 23. Bxa6 Qxa6 24. f6 Bc5 25. fxg7 Kxg7, Qh5 Rc6 27. Nf6 Rxf6 28. exf6+ Kxf6 29. Qg5+
Emanuel Lasker,?,David Creemer,?,1-0, d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f4 b6 6. Nf3 c5 7. d5 e6 8. Bd3 exd5, cxd5 O-O 10. O-O Bb7 11. f5 gxf5 12. Bg5 c4 13. Bxc4 Qc7 14. Bd3 fxe4, Nxe4 Nxe4 16. Bxe4 Qc5+ 17. Kh1 Bxb2 18. Bh6 Nd7 19. Rb1 Bg7 20. Qd2 Qc3, Qxc3 Bxc3 22. Bxf8 Rxf8 23. Rfc1 Bg7 24. Rc7 Nc5 25. Rc1 Ba8 26. Bb1 a6, Ng5 Bh6 28. h4 f6 29. Rxh7 Bg7 30. Ne6 Rf7 31. Nxg7 Rxg7 32. Rxg7+ Kxg7, Rd1
Emanuel Lasker,?,Buchholtz,?,1-0, e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 Nxc3 7. bxc3 Bxc5, Qg4 Kf8 9. d4 Be7 10. h4 h5 11. Qf4 f5 12. exf6 Bxf6 13. Nf3 Nc6 14. Ne5 Ne7, Bd3 Qe8 16. Qf3 Kg8 17. Rh3 Bxe5 18. dxe5 Rb8 19. Rg3 Qf7 20. Qf6 Nd5, Qd8+ Qf8 22. Rxg7+ Kxg7 23. Qg5+ Kf7 24. Qg6+ Ke7 25. Bg5+ Nf6, Bxf6+ Qxf6 27. Qxf6+ Ke8 28. Bg6#
Emanuel Lasker,?,J Kahn,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 f6 4. d4 Nxd4 5. Nxd4 exd4 6. Qxd4 c6 7. Bc4 Qa5+, Nc3 Qc5 9. Qd3 Ne7 10. Be3 Qh5 11. O-O Ng6 12. f4 Bc5 13. Rae1 Bxe3+, Qxe3 d6 15. Rd1 Ke7 16. b4 a5 17. b5 a4 18. h3 Qc5 19. Qxc5 dxc5 20. Kh2 Rd8, Rxd8 Kxd8 22. g3 Nf8 23. e5 Be6 24. Bxe6 Nxe6 25. exf6 gxf6 26. bxc6 bxc6, Ne4 f5 28. Nd6 Rb8 29. Nxf5 Rb2 30. Ne3 Rxa2 31. g4 Nd4 32. Kg3 Nxc2, Nxc2 Rxc2 34. Ra1 Rc4 35. g5 Kd7 36. Kg4 Ke6 37. Re1+ Kf7 38. Re3 Rd4, Rc3 Ke6 40. Rxc5 Kd6 41. Ra5 Rb4 42. Ra7 c5 43. Rxh7 c4 44. g6 c3 45. g7 Rb1, Kf5 Rg1 47. Rh6+ Ke7 48. Rg6 Rxg6 49. Kxg6 c2 50. g8=Q c1=Q 51. Qf7+ Kd8, Qd5+ Ke7 53. Qe4+ Kf8 54. Qa8+ Ke7 55. Qxa4
Emanuel Lasker,?,Sidney Norman Bernstein,?,1-0, e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. d4 d6 5. f4 dxe5 6. fxe5 g6 7. Nc3 Bg7, Be3 c5 9. dxc5 N6d7 10. e6 fxe6 11. Nf3 Qa5 12. Rc1 Nxc5 13. Bd4 e5, Nxe5 Bxe5 15. Bxe5 Nd3+ 16. Bxd3 Qxe5+ 17. Qe2 Nc6 18. O-O Qxe2 19. Bxe2 Be6, Rfe1 O-O-O 21. Bf3 Bxc4 22. Bxc6 bxc6 23. Rxe7 Rd7 24. Rxd7 Kxd7 25. Kf2 Re8, b3 Bf7 27. Na4 Re5 28. Rc5 Kd6 29. Rxe5 Kxe5 30. Ke3 Bd5 31. g3 Be4, Nc5 Bb1 33. a3 Ba2 34. Kd3 Kd5 35. b4 a5 36. Kc3 axb4+ 37. Kxb4 Bc4, Nd7 Bd3 39. a4 Kd4 40. a5 Ke3 41. Kc5 Kf2 42. Nf8 Kg2 43. Nxh7 Kxh2, g4 Kg3 45. g5 Bb5 46. Kb6
Emanuel Lasker,?,Harry Kline,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5, dxe5 Be6 9. c3 Be7 10. Nbd2 O-O 11. Bc2 f5 12. exf6 Nxf6 13. Re1 Qd7, Nd4 Nxd4 15. cxd4 c5 16. Qe2 Bf7 17. Nf3 Bd6 18. Ne5 Qc7 19. f4 c4, Be3 a5 21. Rac1 b4 22. g4 Rad8 23. Qg2 g6 24. Kh1 Ne8 25. f5 Bxe5, dxe5 d4 27. Bg5 d3 28. Bxd8 Qxd8 29. e6 d2 30. exf7+ Kg7 31. fxe8=N+ Rxe8, Rf1
Emanuel Lasker,?,Fehmers,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Nxe5 Nxe5 6. d4 Bxd4 7. Qxd4 Qe7, Nc3 O-O 9. Bg5 d6 10. Nd5 Qd8 11. f4 c5 12. fxe5 cxd4 13. exf6 gxf6, Bxf6 Bd7 15. Bxd8 Bxb5 16. Bf6
Emanuel Lasker,?,Adolf Willem Hamming,?,1-0, e4 c5 2. g3 d5 3. exd5 Qxd5 4. Qf3 Qxf3 5. Nxf3 Nf6 6. Bg2 Bf5 7. Na3 Nc6, d3 h6 9. O-O e6 10. Bd2 Be7 11. Nc4 O-O 12. a4 Nd5 13. Nfe5 Nd4 14. Ne3 Nxe3, fxe3 Nxc2 16. Rac1 Bf6 17. Nd7 Bxd3 18. Nxf6+ gxf6 19. Rxf6 Kh7 20. e4 e5, Rxh6+ Kg7 22. Rd6 Nd4 23. Rxc5 Rfd8 24. Rxd8 Rxd8 25. Rxe5
Emanuel Lasker,?,Sergei Prokofiev,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. c3 Nf6 5. d4 Bd7 6. Nbd2 g6 7. Qe2 Qe7, O-O Bg7 9. Re1 O-O 10. d5 Nb8 11. a4 a6 12. Bd3 Nh5 13. Nb3 a5 14. Be3 Bg4, h3 Bxf3 16. Qxf3 Nd7 17. Bb5 f5 18. exf5 Rxf5 19. Qd1 Nf4 20. Bxf4 Rxf4, Bxd7 Qxd7 22. Nd2 Qf5 23. Qe2 Rf8 24. f3 Bf6 25. Ne4 Bd8 26. b4 Qf7, Red1 axb4 28. cxb4 Qd7 29. a5 Be7 30. b5 Ra8 31. Rdb1 Rff8 32. Qc4 Kg7, a6 b6 34. a7 Rf7 35. Kf2 Bh4+ 36. Ke3 Rf4 37. Qc6 Qxc6 38. bxc6 Rff8, Kd3 h6 40. Kc4 Rfc8 41. Kb5 Bg5 42. Ka6 Be3 43. Kb7 Bc5 44. Ra2 Bd4, Rb3 Kf7 46. Nd2 Ke7 47. Nc4 Bc5 48. Rb5 Kd8 49. Rxc5 dxc5 50. Na3 Rxa7+, Kxa7
Emanuel Lasker,?,David S Polland,?,1-0, e4 c5 2. Nf3 d6 3. c3 Nf6 4. d3 g6 5. Nbd2 Bg7 6. g3 Nc6 7. Bg2 O-O, O-O Bg4 9. h3 Bd7 10. Qe2 Qc7 11. Rd1 Nh5 12. Nf1 Rab8 13. Ne3 b5 14. Nd5 Qc8, Kh2 b4 16. cxb4 e6 17. Nf4 Nxf4 18. Bxf4 Rxb4 19. Bxd6 Rxb2 20. Qe3 Nd4, Bxf8 Qxf8 22. Rab1 Re2 23. Qf4 Rxf2 24. Rb8 Be8 25. Kh1 Bh6 26. Qc7 Nxf3, Rdb1 Kg7 28. Bxf3 Rxf3 29. Qe5+ f6 30. R1b7+ Bf7 31. Qc7 Be3 32. h4 Rf1+, Kg2 Rf2+ 34. Kh3
Emanuel Lasker,?,Kovacs,?,1-0, e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6, c3 Na5 9. Bc2 c5 10. d4 cxd4 11. cxd4 Qc7 12. Nc3 Be6 13. Bg5 Rc8 14. Bd3 Nc4, Qe2 exd4 16. Nxd4 Bg4 17. f3 Qc5 18. Be3 Nxe3 19. Qxe3 Be6 20. Rac1 Qe5, f4 Qh5 22. f5 Ng4 23. Qf4 Bc4 24. Bxc4 Rxc4 25. Nd5 Ne5 26. Rxc4 bxc4, f6 Nd3 28. fxg7 Rg8 29. Qf6 Bxf6 30. Nxf6+ Kd8 31. Nxh5 Nxe1 32. Nc6+ Kc7, Ne7 Rxg7 34. Nxg7 Nd3 35. Nd5+ Kc6 36. Kf1 Nxb2 37. Ke2 Kc5 38. Nf5
