Alekhine Alexander A (RUS),0,Euwe Max (NED),0,1/2-1/2,e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Qe2 b5 7.Bb3,a4 Rb8 9.axb5 axb5 10.c3 Bg4 11.Rd1 O-O 12.d4 Ra8 13.Rxa8,d5 Na5 15.Bc2 c6 16.Na3 Rb8 17.b4 Nc4 18.Nxc4 bxc4 19.h3,Bg5 Qa6 21.dxc6 Qxc6 22.Ra1 h6 23.Bxf6 Bxf6 24.Nd2 Be6,Nf1 Ra8 26.Qd1 Rxa1 27.Qxa1 Bg5 28.Qa7 g6 29.Qb8+ Kg7 30.b5,b6 Bd8 32.Qa7 Qb5 33.b7 Bc7 34.Ne3 Qb2 35.Qa8 Bd7 36.Qc8,bxc8Q Bb6 38.Qb8 Qc1+ 39.Nf1 Bxf2+ 40.Kxf2 Qxc2+ 41.Kg1,Qxd6 Qd4+ 1/2-1/2
Alekhine Alexander A (RUS),0,Euwe Max (NED),0,1/2-1/2,d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 e6 5.Bd3 Ne4 6.Nbd2 f5 7.Ne5 Qh4,O-O Bd6 9.f4 O-O 10.Ndf3 Qh6 11.Bd2 Nd7 12.Be1 Ndf6 13.Qe2,Nxd7 Nxd7 15.c5 Bc7 16.b4 Ndf6 17.Ne5 Bxe5 18.dxe5 Nd7,g4 Qg6 20.Bxe4 fxe4 21.Rc1 a6 22.Bg3 Qe8 23.Rf2 Qe7 24.Qb2,a4 Rf7 26.Qd4 Nf8 27.Rcf1 Re8 28.Rc2 Ra8 29.Qd2 Nd7 30.Qd4,a5 h5 32.h3 Rg7 33.Rcf2 Rff7 34.Rg2 Nf8 35.Qd1 hxg4 36.hxg4,Bh4 Qxh4 38.Rh2 Rh7 39.Rxh4 Rxh4 40.Qe2 Rfh7 41.Qg2 Rh3,f5 gxf5 43.gxf5 Rg7 44.fxe6 Nxe6 45.Rf6 Rhg3 46.Qxg3 Rxg3+,Kh2 Rxe3 48.Rxe6 d4 49.Rg6 1/2-1/2
Alekhine Alexander A (RUS),0,Euwe Max (NED),0,0-1,d4 d5 2.c4 e6 3.Nf3 c5 4.cxd5 exd5 5.g3 Nc6 6.Nc3 Nf6 7.Bg2,O-O O-O 9.dxc5 Bxc5 10.Na4 Be7 11.Be3 Ne4 12.Rc1 Qa5 13.Nd4,Bxd4 Be6 15.f3 Nf6 16.Nc5 Qxa2 17.Nxe6 fxe6 18.Bh3 Qa6,Qd3 Qd6 20.Qe3 Kf7 21.Bc5 Qd7 22.Bxa7 Rfc8 23.Bd4 Ra6 24.f4,Rxc1 Rc6 26.Rf1 Rc4 27.b3 Rc2 28.f5 e5 29.Qd3 Qc6 30.Bxe5,Rd1 Rc1 32.Kg2 Rxd1 33.Qxd1 d4 34.Kg1 Qd5 35.Bf4 d3 36.Qxd3,Kg2 Qc6 38.Bg4 Nf2+ 39.Qf3 Nxg4 40.e4 Nf6 41.e5 Qxf3+,Kxf3 Nd5 43.Bd2 Ke7 44.Ke4 Nc7 45.g4 Kd7 46.h4 Bf8 47.h5 Kc6,e6 Ne8 49.g5 h6 50.Ke5 Be7 51.gxh6 Bf6+ 52.Ke4 Nd6+ 53.Kf3,Kg4 Bg7 55.f6 Bxf6 56.Bxh6 Kd5 57.Bg5 Kxe6 58.Bxf6 Kxf6,Kf4 b5 60.h6 b4 61.h7 Kg7 62.Ke5 Nb5 63.Kd5 Nc3+ 64.Kc4 Na2,Kc5 Kxh7 66.Kc4 Kg6 67.Kc5 Kf5 68.Kd5 Kf4 69.Kd4 Kf3 70.Kd3,Kd2 Nc3 0-1
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Be7 6.Nf3 O-O 7.Rc1,Qc2 a6 9.cxd5 Nxd5 10.Bxe7 Qxe7 11.Be2 Re8 12.O-O Nxc3 13.Qxc3,Rfd1 exd4 15.Nxd4 Nf6 16.Bf3 Bg4 17.Bxg4 Nxg4 18.Nf5 Qf6,Qxf6 Nxf6 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 Nf6 2.c4 e6 3.Nc3 d5 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1,Qc2 a6 9.a3 Re8 10.Bd3 h6 11.Bf4 dxc4 12.Bxc4 b5 13.Ba2,O-O c5 15.dxc5 Nxc5 16.Rfd1 Qb6 17.Be5 Rac8 18.Qe2 Nce4,Bd4 Bc5 20.Nxe4 Bxd4 21.Nxd4 Bxe4 22.Bb1 Rxc1 23.Rxc1 Bxb1,Rxb1 Rc8 25.Qe1 Qc7 26.h3 Ne4 27.Ne2 Qe5 28.Rc1 Rxc1 29.Qxc1,Qxc5 Nxc5 31.Nd4 Kf8 32.b4 Na4 33.Kf1 Nb6 34.Nb3 Nc4 35.Nc5,Nxa6 Ke7 37.Ke2 Kd6 38.Kd3 Nc4 39.Nc5 f5 40.Kc3 Kd5 41.Na6,Nc5 Nb6 43.Nd3 e5 44.Kb3 Nc4 45.Kc3 Kd5 46.Nc5 Nb6 47.Kd3,Na6 e4+ 49.Kc3 Kc6 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Be7 6.Nf3 O-O 7.Qc2,cxd5 cxd4 9.Nxd4 Nxd5 10.Bxe7 Qxe7 11.Nxd5 exd5 12.Bd3 Qb4+,Qd2 Ne5 14.Be2 Qxd2+ 15.Kxd2 Bd7 16.Rac1 Rfc8 17.b3 Kf8 18.f4,Bb5 Ke7 20.Bxc6 bxc6 21.Rc5 a5 22.Rhc1 Kd6 23.R1c3 Ra6,Nb5+ Ke7 25.Nd4 Kd6 26.e4 dxe4 27.Ke3 Rb8 28.Nf5+ Bxf5 29.Rxf5,Rc4 Rb5 31.Rd4+ Ke6 32.Rxb5 cxb5 33.Rxe4+ Kf7 34.Rd4 Rc6,Rd7+ Kg6 36.Kd2 Rc5 37.Ra7 b4 38.g4 h5 39.h3 h4 40.f5+ Kh6,Ra8 Kh7 42.Ke3 Rc3+ 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Be7 6.Nf3 O-O 7.Qc2,cxd5 Nxd5 9.Nxd5 exd5 10.Bxe7 Qxe7 11.Bd3 g6 12.dxc5 Nxc5,Rc1 Nxd3+ 14.Qxd3 Bf5 15.Qd4 Be4 16.O-O Bxf3 17.gxf3 Qg5+,Kh1 Qf5 19.Kg2 Qg5+ 20.Kh1 Qf5 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nf3 Nd7 4.Nc3 Ngf6 5.Bg5 Be7 6.e3 O-O 7.Rc1,Qc2 a6 9.a3 h6 10.Bh4 Re8 11.cxd5 exd5 12.Bd3 Nh5 13.Bxe7,O-O Nhf6 15.h3 Ne8 16.Ne2 Nd6 17.Ng3 Nf8 18.Ne5 f6 19.Ng6,Bxg6 Be6 21.Ne2 Qd7 22.Nf4 Bf5 23.Bxf5 Qxf5 24.Qxf5 Nxf5,Nd3 Nd6 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Be7 6.Nf3 O-O 7.Rc1,Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.Ne4 N5f6 12.Ng3 Qb4+,Qd2 Qxd2+ 14.Kxd2 b6 15.e4 Rd8 16.e5 Ne8 17.Ke2 Bb7 18.Rhd1,d5 exd5 20.Bxd5 Bxd5 21.Rxd5 Nc7 22.Rd2 Nf8 23.Rcd1 Rxd2+,Rxd2 1/2-1/2
Alekhine Alexander A (RUS),0,Capablanca Jose Raul (CUB),0,1/2-1/2,d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Be7 6.Nf3 O-O 7.Rc1,Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.Ne4 N5f6 12.Ng3 Qb4+,Qd2 Qxd2+ 14.Kxd2 Rd8 15.Ke2 b6 16.Rhd1 Bb7 17.Rd2 Kf8 18.Rcd1,e4 h6 20.h3 g5 21.Rd3 c5 22.dxc5 Nxc5 23.Rxd8 Rxd8 24.Rxd8,Ne5 Ke7 26.f3 Nfd7 27.Nxd7 Nxd7 28.Kd3 1/2-1/2
