Tal Mikhail (LAT),0,Tringov Georgi P (BUL),2379,1-0,e4 g6,d4 Bg7,Nc3 d6,Nf3 c6,Bg5 Qb6,Qd2 Qxb2,Rb1,Bc4 Qa5,O-O e6,Rfe1 a6,Bf4 e5,dxe5 dxe5,Qd6,Red1 Nd7,Bxf7+ Kxf7,Ng5+ Ke8,Qe6+ 1-0
Tal Mikhail (LAT),0,Vranesic Zvonko (CAN),2320,1-0,e4 c5,Nf3 e6,d4 cxd4,Nxd4 a6,Nc3 Qc7,Be2 b5,a3,f4 d6,O-O Nf6,Bf3 Nbd7,Qe2 h6,Kh1 e5,fxe5,Nd5 Qc4,Qxc4 bxc4,Nf5 Nxd5,exd5 g6,Ne3 Nb6,Bd2 Rc8,Rae1 Bg7,Ba5 Nd7,Be2 O-O,Bxc4 e4,d6,Bb3 Kh7,Bc7 f5,Bd5 Bxd5,Nxd5 Nd7,b4 Be5,c4 1-0
Tal Mikhail (LAT),0,Brinck-Claussen Bjorn (DEN),2342,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 d6,c3 Bd7,d4 g6,O-O Bg7,dxe5 dxe5,Bg5 f6,Be3 Nh6,Nbd2 Nf7,b4 O-O,Bb3,a4 Be6,Bxe6 Rxe6,Qb3 Qd7,Nc4 Ree8,b5 axb5,axb5 Rxa1,Rxa1 Ncd8,b6 cxb6,Nxb6 Qc6,Nd5 Bf8,h4,h5 Bc5,Bxc5 Qxc5,Ra4 Re6,Rc4 Qa7,Rc7 Ra6,Qb4,Qe7 Qa8,Nh4 1-0
Tal Mikhail (LAT),0,Franklin Michael J (ENG),2231,1-0,e4 c5,Nf3 a6,Nc3 b5,d4 cxd4,Nxd4 e6,Bd3 Qc7,O-O,Re1 Bd6,h3 Nc6,Nxc6 dxc6,Qg4 Ne7,Qxg7 Be5,Bf4,Bxc7 Rc8,Bd6 c5,e5 Nf5,Bxf5 exf5,Rad1 Bf8,e6 fxe6,Rxe6+ Kf7,Re5 Kg6,Bxf8 Rhxf8,Ne2 Kf6,f4,Rxd8 Rxd8,Ng3 Rd1+,Kh2 Rd5,Rxd5 Bxd5,a3 a5,Nf1 b4,Ne3 Bf7,g4 fxg4,hxg4 h6,Kg3 Kg6,Kf3,Ke4 Bg8,Nd5+ Ke6,f5+ Kd6,Nf6 Bf7,Kf4 bxa3,bxa3 Kc6,Ke5 Kb5,Ne4 Ka4,Kf6 Bc4,Nxc5+ Kxa3,Nb7,Nc5 Be2,Kg6 Kb2,Nxa4+ Kxc2,f6 1-0
Tal Mikhail (LAT),0,Littlewood John E (ENG),2275,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 d6,O-O Bd7,c3 Nge7,d4,Nbd2 Be7,Re1 h6,Nf1 Bg5,dxe5 dxe5,Bxc6 bxc6,Be3 Qf6,Qa4 O-O,Ng3 Nh4,Nxh4 Bxh4,Rad1 Bc8,Nf5,Bxg5 hxg5,Qxc6 Bxf5,Qxf6 gxf6,exf5 Rfb8,Re2,f3 Rab8,b3 a5,Red2 Kf8,Rd8+ Rxd8,Rxd8+ Ke7,c4 Rc5,Rd5 Rxd5,cxd5 Kd6,Kf2 Kxd5,Ke3 Kc5,g3,fxg4 Kd6,Ke4 1-0
Tal Mikhail (LAT),0,Averbakh Yuri L (RUS),2445,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3,c3 O-O,h3 Nd7,d4 Bf6,a4 Na5,Bc2 Nb6,axb5 axb5,Nbd2 c5,dxc5 dxc5,Qe2 c4,Nh2 Bg5,Rd1 Qf6,Ndf3,Rdxc1 Be6,Ra3 Nb7,Rca1 Rxa3,Rxa3 Qf4,Qe1,Ra6 Nbc5,Rc6 Ra8,Qd1 Nb3,Bxb3 Qxe4,Rxe6 fxe6,Qxd7 Qd5,Qe7 cxb3,Ng4 h6,Nfxe5 Rf8,Nd7 1-0
Tal Mikhail (LAT),0,Krogius Nikolai V (RUS),2485,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3,c3 d6,h3 Nb8,d4 Nbd7,Bg5 Bb7,Nbd2 h6,Bh4,Bg3 Bf6,Qe2 Ng5,Rad1 Re8,dxe5 Nxf3+,Nxf3 dxe5,Nh4 Bxh4,Qg4 Nf6,Rxd8 Nxg4,Rxa8 Bxa8,Bxh4 Nf6,f3 Nd7,Bf2 Bc6,Rd1 Nb6,Bxb6 cxb6,Rd6 Rc8,Re6,Bxe6+ Kf8,Bxc8 a5,Kf2 Ke7,b4 axb4,cxb4 Kf6,Ke3 g5,g3 Be8,f4 gxf4+,gxf4 Bc6,Kf3 Be8,a3,Bg4 Be8,Kg3 Bf7,Bd7 Bc4,Kf3 Bf1,Bc8 Bc4,Ke3,Bd7 Bc4,h4 Ke7 1-0
Tal Mikhail (LAT),0,Ljavdansky Vladimir (RUS),2312,1-0,e4 c5,Nf3 d6,d4 cxd4,Nxd4 Nf6,Nc3 e6,Be2 Be7,O-O,f4 Nc6,Be3 Bd7,Qe1 Nxd4,Bxd4 Bc6,Bd3 g6,Rd1,Kh1 Rc8,Qg3 b5,e5 dxe5,fxe5 Nh5,Qg4 Qc7,Qh3,Qh6 Qb7,Rd2 Rcd8,Rf4 Nf5,Bxf5 exf5,e6 f6,Rh4,Bb6 Bf4,Qxf4 Rxd2,Qxd2 Qxb6,e7 Re8,Nd5 Bxd5,Qxd5+ Kg7,Rxh7+ Kxh7,Qf7+ Kh6,Qxe8 Qf2,Qh8+ Kg5,h4+ Kg4,e8Q Qf1+,Kh2 Qf4+,Kg1 Qc1+,Kf2 Qf4+,Ke2 1-0
Tal Mikhail (LAT),0,Osnos Viatcheslav (RUS),2384,1-0,e4 e5,Nf3 Nf6,d4 Nxe4,Bd3 d5,Nxe5 Bd6,O-O O-O,c4,cxd5 Nxd4,Bxe4 Bxe5,Nc3 Bf5,Be3 Bxe4,Bxd4 Bc2,Qd2 Bxd4,Qxd4 Qd7,Rfe1 a6,Re2 Bg6,Qb4 b5,Re7,Qxd6 cxd6,a3 Bd3,Rd1 Bc2,Rde1 Bf5,f3 h5,Rb7,Ree7 Bc4,Kf2 a5,Ke3 b4,axb4 Ba6,Rb6 axb4,Ne4,g3 Ra1,Rxb4 Re1+,Kf2 Rc1,Nxd6 Bd3,Rbb7 Rc2+,Ke3 Bg6,h4 Rg2,Nc4 Rxg3,d6 Rg1,Ne5 Rd8,d7 1-0
Tal Mikhail (LAT),0,Sakharov Yuri N (RUS),2475,1-0,e4 c5,Nf3 d6,d4 cxd4,Nxd4 Nf6,Nc3 a6,Bg5 e6,f4,Qd2 Qxb2,Rb1 Qa3,Bxf6 gxf6,Be2 Bg7,O-O O-O,Rf3,Nb3 Rd8,f5 Ne5,Rg3 Kh8,Rf1 Qb4,Kh1 d5,exd5,Nd4 Qf8,Rh3 b5,Rf4 Bb7,Rfh4 Qg8,Qf4 Rac8,Nd1 Re8,Ne3 Rc3,Rh5 Nd7,Bd3 Re5,Qh4 Nf8,Ng4,Kg1 Rc4,Nxf6 Bxf6,Qxf6+ Qg7,Qxg7+ Kxg7,Rg3+,Bxc4 dxc4,Rh6 Rd8,c3 Be4,a3 Ra8,Rd6 a5,Rb6
Tal Mikhail (LAT),0,Shamkovich Leonid (USA),2342,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 d6,c3,d4 exd4,cxd4 Bg4,Nc3 Nd7,Be3 Nb6,Bb3 Bf6,Qd3,gxf3 Qd7,Kg2 Ne7,Rg1 g6,Kh1 d5,Bg5 Bxg5,Rxg5,Ne2 Rad8,Rd1 Na8,Qe3 Nc7,Rdg1 Kh8,R5g3 Ng8,Bc2 Ne6,Rd1 Qe7,a3 Rd7,b4 Nf6,Rh3 Ng8,Rg1 dxe4,fxe4 Rfd8,Rd1 Kg7,f4 Nc7,f5 f6,fxg6 hxg6,Rg1,e5 Nf8,Bxg6 Nxg6,Nf4 Qf7,e6 Re7,exf7 Rxe3,fxg8Q+ 1-0
Tal Mikhail (LAT),0,Vasiukov Evgeni (RUS),2493,1-0,e4 c6,Nc3 d5,d4 dxe4,Nxe4 Nd7,Nf3 Ngf6,Ng3 e6,Bd3,O-O cxd4,Nxd4 Bc5,Nf3 O-O,Qe2 b6,Bf4 Bb7,Rad1,Bg5 Qc7,Nh5 Kh8,Be4 f6,Bh4 Bd6,c4 Ba6,Nxg7,Nd4 Nc5,Qg4+ Kh8,Nxe6 Nxe6,Qxe6 Rae8,Qxd5,Kh1 Qf4,Qh5 Qxe4,Rfe1 Qg6,Qxg6 hxg6,Bxf6+,Rxe8 Rxe8,Kxh2 Bxc4,Rd7 Re6,Bc3 Bxa2,Rxa7,Kg3 Bd5,f3 Kf8,Bd4 b5,Kf4 Bc4,Kg5 Ke8,Ra8+,Ra7+ Ke8,b4 Bd5,Ra3 Kf7,g4 Re2,Bc5 Re5+,Kh6,Rd3 Bc6,Rd8 Re8,Rd4 Re6,f4 Ke8,Kg7 Be4,Bb6,Rd8+ Ke7,Rd3 Be2,Bd8+ Ke8,Rd2 Re3,Bg5 Bd3,f5 1-0
Tal Mikhail (LAT),0,Ciocaltea Viktor (ROM),2420,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 d6,O-O Bd7,d4 b5,Bb3 exd4,c3 d3,Qxd3 Nf6,a4 Na5,Bc2 Be7,Bg5 Nc4,Ra2 h6,Bh4 g6,Nbd2 Nxd2,Qxd2 bxa4,Bxa4 Bxa4,Rxa4 Nd7,Bxe7 Qxe7,b4 O-O,Qxh6 Nf6,Ng5 Rfe8,Ra5 Qf8,Qxf8+,f3 Nd7,Rfa1 1-0
Tal Mikhail (LAT),0,Fichtl Jiri (CZE),2213,1-0,c4 e6,d4 d5,Nc3 Nf6,Nf3 Nbd7,cxd5 exd5,Bg5 Be7,e3,Bd3 Re8,Qc2 c6,O-O Nf8,Bxf6 Bxf6,b4 Bg4,Nd2,Nb3 Be7,a3 Bd6,Bf5 Bxf5,Qxf5 Re6,Nc5 Rf6,Qc2,Rad1 Re7,Rfe1 Rh6,h3 Qc8,e4 Bxc5,dxc5 dxe4,Nxe4 Qf5,Rd8 Rhe6,f3 Qf4,Qc4 Qh4,Red1 Re8,R8d4,Nd6 Qe3+,Kh1 Rd8,R4d3 Qe2,Qc3 Rg6,R3d2 Qa6,a4 b6,b5 Qxa4,cxb6 cxb5,b7 Qf4,Qc7 1-0
Tal Mikhail (LAT),0,Fuchs Ludek (CZE),2110,1-0,d4 d5,c4 c6,Nc3 Nf6,e3 Bf5,cxd5 cxd5,Qb3 Qb6,Nxd5,Qxd5 Qb4+,Bd2 Qxb2,Rc1 Bd7,Nf3 e6,Qc4 Nc6,Be2,Bxb4 Qxb4+,Qxb4 Nxb4,Rc7 Bc6,Ne5 O-O,Nxc6,a3 Nd5,Rxc6 Rfc8,Rxc8+ Rxc8,Kd2 g6,Bf3 Nb6,Rc1 Rxc1,Kxc1 Kf8,Kc2 Ke7,Kc3 a5,h4 h6,e4 f6,e5 Kf7,Bc6 Ke7,f4 Kf7,g3 Ke7,g4 g5,exf6+ Kxf6,fxg5+ hxg5,h5 Kg7,d5 exd5,Kd4 Nc4,Bb5 Nd6,Bd3,Bf5 Nf6,Ke5 1-0
Tal Mikhail (LAT),0,Liberzon Vladimir M (ISR),2410,1-0,e4 c5,Nf3 Nc6,d4 cxd4,Nxd4 Nf6,Nc3 e6,Ndb5 Bb4,a3,Nxc3 d5,exd5 Nxd5,Bd2 O-O,Qh5 Nxc3,Bxc3 e5,Bd3 g6,Qh6 Qf6,O-O Qg7,Qe3 g5,h4 h6,hxg5 hxg5,f3 Be6,Kf2 Nd4,Rae1 Nc6,Rh1 f6,Rh7 Qxh7,Bxh7+,Qd3+ Kg7,Rh1 Rh8,Rxh8 Rxh8,Qd6 Re8,b4 a6,a4 Kf7,Qd3 Kg7,b5 Rd8,Qe4 Bd5,Qg4 axb5,axb5,Bb4 Ng6,Ba5 Ra8,Qd7+ Bf7,Bd8 Nf4,Kg1 Ra2,Qf5,c4 Ra8,Qd7 Nf4,Qe7 Ra1+,Kh2 Ra2,Qxf6+ Kg8,Qxg5+ Bg6,Qxe5 Rxg2+,Kh1 Rd2,Qxf4 Rxd8,Qc7 1-0
Tal Mikhail (LAT),0,Borisenko Georgy K (UZB),2354,1-0,e4 c5,Nf3 Nc6,d4 cxd4,Nxd4 Nf6,Nc3 d6,Bg5 e6,Qd2,O-O-O Bd7,f4 Be7,Nf3 b5,a3 b4,axb4 Nxb4,Bc4,Qe2 Rc8,Bb3 O-O,e5 dxe5,fxe5 Nfd5,Bxe7 Nxe7,Qe4 a5,Ng5 Ng6,Rhe1 Rcd8,Rd6 Bc6,Qd4 Bd5,Bxd5,Rxg6 fxg6,Qh4 h6,Ne6 g5,Qd4 Qe7,Nxf8 Qxf8,Rd1 Qf5,Rd2 Qe6,Kb1 Rf8,b3 Rf4,Qe3 Rf5,Re2,Nb5 Nc6,Qd3 Kg8,Nc7 Qd7,Nxd5 Kh8,Nf4 Qxd3,Nxd3 Nd4,Re4 1-0
Tal Mikhail (LAT),0,Geller Efim P (RUS),2455,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3,c3 d6,h3 Nd7,d4 Bf6,a4 Na5,Bc2 Nb6,axb5 axb5,Nbd2 c5,dxc5 dxc5,Qe2 c4,Nh2 Be7,Ndf3 f6,Be3,Ng4 Qc7,Nh4 Nb7,Nf5 Nc5,Qf3 Kh8,Rxa8 Rxa8,h4 Nba4,h5 h6,Nh4 Nxb2,Bxh6 Nbd3,Rd1 gxh6,Bxd3,Qe3 Bxg4,Qxh6+ Kg8,Qg6+ Kh8,Qf7 Rg8,Ng6+,hxg6 Ne6,Qh7# 1-0
Tal Mikhail (LAT),0,Asmundsson Ingvar (ISL),2294,1-0,e4 e6,d4 d5,Nc3 Bb4,e5 Qd7,a3 Bxc3+,bxc3 b6,Qg4,Qh5+ Qf7,Qd1 Ba6,Bxa6 Nxa6,Qd3 Nb8,c4 dxc4,Qxc4,Ne2 Ne7,Nf4 Nd5,O-O Nc6,Rd1 Na5,Qd3 Nxf4,Bxf4,Rab1 Nc4,h4 O-O,h5 c6,h6 g6,Bg5 b5,Rb3,Re1 Ra7,Bf6 a4,Rc3 Kf7,Qe2 Ke8,Rb1 Rd7,Rd3,Qd1 Rff7,Rb4 Qd5,Bg5 Ra7,Rc3 Rfd7,Rcxc4 bxc4,Rb8+ Kf7,Bf6 Qxd4,Qxd4 Rxd4,Rh8 Rad7,Rxh7+ Kg8,Rh8+ Kf7,h7 1-0
Tal Mikhail (LAT),0,Gaprindashvili Nona (GEO),2360,1-0,e4 e5,Nf3 Nc6,Bb5 a6,Ba4 Nf6,O-O Be7,Re1 b5,Bb3,c3 O-O,h3 Na5,Bc2 c5,d4 cxd4,cxd4 Qc7,Nbd2,Nf1 Rac8,Bb1 Rfe8,Ng3 g6,Bg5 Nc4,b3 Nb6,Bd3,Rc1 Qd8,Rxc8 Qxc8,Qd2 Bf8,Bb1 Qa8,Bh6 Bxh6,Qxh6 Re7,Rc1 Qf8,Qd2 d5,Nxe5 Nxe5,dxe5 Nxe4,Bxe4,Qf4 Qb8,Rc5 Qd8,Nxe4 Bxe4,Qxe4 f6,Qc2 Qd4,Rc8+ Kf7,exf6 Qa1+,Kh2 Qxf6,Rc6 Qf4+,g3 Qf3,Rxa6,Qb2+ 1-0
