Smyslov Vassily (RUS),2550,Vaganian Rafael A (ARM),2595,0-1,e4 Nf6 2.Nc3 d5 3.exd5 Nxd5 4.Nxd5 Qxd5 5.Qf3 e6 6.Qxd5 exd5,Nf3 Bf5 8.d3 Nc6 9.Bf4 Kd7 10.O-O-O Re8 11.g3 Bd6 12.Bxd6 Kxd6,Bg2 Re2 14.Rd2 Rhe8 15.Rxe2 Rxe2 16.Rf1 a5 17.Kd1 Bxd3 18.cxd3,a3 Ra2 20.Kc1 Ne5 21.Kb1 Rxa3 22.Nxe5 Kxe5 23.Re1+ Kd6,Bf1 b5 25.Kb2 b4 26.d4 Rf3 27.Re2 a4 28.Rd2 g5 29.Bb5 Rb3+,Kc1 a3 31.Rc2 Rf3 32.Rc6+ Ke7 33.Rxc7+ Ke6 34.Rc2 b3 35.Re2+,Kb1 Rc3 37.Re1 Rc2 38.Rf1 Rc3 39.Re1 Rc2 40.Rf1 h5 41.Bd3,Bf5 Rxd4 43.Kc1 Ke5 44.Bd7 Rc4+ 45.Kb1 Rc2 46.Bb5 g4 47.Bd3,Re1+ Kd4 49.Be2 Rc2 50.Rd1+ Kc5 51.Re1 a2+ 52.Ka1 b2+,Kxa2 Rc1 0-1
Smyslov Vassily (RUS),2550,Alburt Lev O (USA),2575,1-0,Nf3 Nf6 2.c4 c5 3.Nc3 e6 4.g3 d5 5.cxd5 Nxd5 6.Bg2 Nc6 7.O-O,d4 O-O 9.Nxd5 exd5 10.dxc5 Bxc5 11.Qc2 Bb6 12.Ng5 g6 13.Qd2,Nf3 Qf6 15.Rd1 Nxf3+ 16.Bxf3 Be6 17.Qf4 Qxf4 18.Bxf4 Rac8,Rac1 Rxc1 20.Rxc1 f6 21.a4 g5 22.Bd2 Bd4 23.b4 a6 24.Rd1 Be5,Be3 Rd8 26.Bb6 Rd7 27.e3 Bc3 28.Bc5 Kg7 29.a5 Be5 30.Kf1 g4,Bg2 h5 32.Ke2 h4 33.gxh4 Bxh2 34.f4 Kg6 35.Bd4 Rh7 36.Bb6,Kf2 Rf5 38.Rc1 Bd7 39.Rc7 Bc6 40.Bd4 Rh5 41.Bf1 Rh8 42.Bd3+,Bxf6 Rh6 44.Bg5 d4 45.e4 Rh8 46.Kg2 g3 47.Be2+ 1-0
Smyslov Vassily (RUS),2550,Ernst Thomas (SWE),2455,1-0,d4 Nf6 2.Nf3 d5 3.c4 e6 4.Nc3 c5 5.cxd5 Nxd5 6.e4 Nxc3 7.bxc3,cxd4 Bb4+ 9.Bd2 Bxd2+ 10.Qxd2 O-O 11.Bc4 Nd7 12.O-O Nf6,Rfe1 Bd7 14.e5 Nd5 15.Bxd5 exd5 16.Rab1 b6 17.h3 Rc8 18.Nh2,Rbc1 Bb5 20.Ng4 Bc4 21.Rc3 b5 22.Rg3 Kh8 23.f4 a5 24.f5,f6 Rg8 26.Qf4 Bxa2 27.e6 fxe6 28.Ne5 1-0
Smyslov Vassily (RUS),2550,Prasad Devaki V (IND),2425,1-0,Nf3 Nf6 2.c4 c6 3.b3 d5 4.Bb2 Bf5 5.g3 h6 6.Bg2 e6 7.O-O Nbd7,d3 Be7 9.Nc3 O-O 10.Re1 Bh7 11.Qc2 Qc7 12.Rac1 Rac8 13.Nd1,Ne3 Rfe8 15.Qd2 Bf8 16.Bh3 Rcd8 17.Rc2 dxc4 18.Nxc4 e5,e4 Nb6 20.Qc3 Nxc4 21.bxc4 Bc5 22.Ba3 Qd6 23.Bxc5 Qxc5 24.Nd2,Re3 c5 26.Qa3 b6 27.Rb2 Re7 28.Nb1 g5 29.Nc3 g4 30.Bg2,Rbe2 Ne8 32.Nd5 f6 33.f3 h5 34.fxg4 hxg4 35.Rf2 Rf7 36.Qc1,h3 Nxd5 38.cxd5 f5 39.hxg4 fxg4 40.Ree2 Rg7 41.Bf1 Rdd7,Rh2 Rdf7 43.Ref2 Rxf2 44.Rxf2 Bg6 45.Qh6 b5 46.Be2 Qd7 47.Rh2,Qh5 Qe7 49.Bxg4 c4 50.d6 Qd8 51.d7 1-0
Smyslov Vassily (RUS),2550,Anagnostopoulos Dimitri (GRE),2453,1-0,Nf3 Nf6 2.g3 g6 3.b4 Bg7 4.Bb2 O-O 5.c4 d6 6.Bg2 e5 7.d3 Nh5,Nc3 f5 9.e3 c6 10.O-O Be6 11.Nd2 Nd7 12.b5 Qc7 13.Rc1 Rac8,Qe2 Bf7 15.Nb3 Rce8 16.bxc6 bxc6 17.Ba3 Nhf6 18.Qd2 g5 19.Na4,Qa5 Nb6 21.Nc3 Qd7 22.Rfd1 f4 23.Nb5 Bh5 24.Rd2 Nc8 25.Qc7,Qc6 Re7 27.Nc7 Rxc7 28.Qxc7 f3 29.Bf1 Bg4 30.Qb7 Qe8 31.Rdc2,Nd2 d5 33.Bxc5 Rf7 34.Qa8 e4 35.cxd5 Bh3 36.Bd6 1-0
Smyslov Vassily (RUS),2550,Blackstock Lesly S F (SCO),2255,1-0,d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3 Nc6 5.Bf4 Bb4+ 6.Nbd2 Qe7 7.e3,Nxe5 Nxe5 9.Be2 O-O 10.O-O Bxd2 11.Qxd2 d6 12.b4 a5 13.a3,Qc3 f6 15.Rfc1 Bf5 16.f3 axb4 17.axb4 b6 18.e4 Bg6 19.Rxa8,c5 bxc5 21.bxc5 Bf7 22.cxd6 cxd6 23.Qd4 h6 24.Rd1 Rd8,Qb6 Rd7 26.Qb4 Kh7 27.Bg3 Qe6 28.f4 Qb3 29.Qxb3 Bxb3 30.fxe5,e6 Re7 32.Bxd1 Rxe6 33.Bg4 Re8 34.Bxd6 g6 35.Bf3 Kg7,Kf2 Rd8 37.e5 fxe5 38.Bxe5+ Kh7 39.Ke3 Re8 40.Kd4 Rd8+ 41.Ke4,Bd4 Ra2 43.Ke5 Ra6 44.Bb7 Ra4 45.Bc6 Rb4 46.Bd5 Ra4 47.Bc5,Bd6 Kg7 49.Ke6 Ra6 50.Bb7 Rb6 51.Bc8 Kh7 52.Ke7 Rb2 53.g4,Be6 Rf1 55.Be5 Rf2 56.Bf6 Rf4 57.Kf7 Ra4 58.Be5 Ra7+ 59.Kf6,h4 Rb6 61.Kf7 Rb5 62.h5 1-0
Smyslov Vassily (RUS),2550,Ernst Thomas (SWE),2450,1-0,d4 Nf6 2.Nf3 g6 3.Bg5 Bg7 4.Nbd2 c5 5.Bxf6 Bxf6 6.Ne4 Bxd4,Nxd4 cxd4 8.Qxd4 O-O 9.c4 Nc6 10.Qd2 d6 11.Nc3 Be6 12.e4 Qa5,Be2 a6 14.Nd5 Qxd2+ 15.Kxd2 Bxd5 16.cxd5 Nd4 17.Bd3 Rfc8 18.Rac1,Ke3 Nb5 20.g4 h6 21.h4 Na7 22.Rcf1 Kg7 23.f4 Rc5 24.h5,hxg6 fxg6 26.Rhg1 Nb5 27.a4 Na7 28.Kd4 a5 29.e5 Nc8 30.Rc1,Rxc5 dxc5+ 32.Kxc5 Nxa4+ 33.Kd4 Nxb2 34.Bb5 a4 35.d6 exd6,exd6 Rd8 37.d7 Kf6 38.Re1 a3 39.Kc3 Ra8 40.Re8 Na4+ 41.Bxa4 1-0
Smyslov Vassily (RUS),2550,Beliavsky Alexander G (SLO),2665,1/2-1/2,d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 dxc4 5.e3 a6 6.Bxc4 b5 7.Bd3,O-O c5 9.dxc5 Bxc5 10.Qe2 Nbd7 11.e4 Qb8 12.Bg5 O-O 13.Rac1,Rfd1 Bf4 15.Bxf4 Qxf4 16.b4 Rac8 17.Qd2 Qb8 18.h3 Ne5,Qe3 Nxf3+ 20.gxf3 e5 21.a4 bxa4 22.Nxa4 Rxc1 23.Rxc1 Qd6 24.Nc5,Bf1 Nh5 26.Nd3 Qg6+ 27.Kh2 f6 28.Rc6 Qe8 29.Qc5 h6 30.Rc7,Qd5+ Be6 32.Qc6 Bf7 33.Qxe8 Bxe8 34.Nc5 Bb5 35.Bxb5 axb5,Rb7 Rd8 37.Rxb5 Nf4 38.h4 Rd2 39.Rb8+ Kf7 40.b5 Rxf2+ 41.Kg1,Na6 1/2-1/2
Smyslov Vassily (RUS),2550,Ehlvest Jaan (EST),2580,1-0,Nf3 d5 2.b3 Bg4 3.Bb2 Nd7 4.d4 Bxf3 5.exf3 e6 6.f4 Bd6 7.g3,Bg2 c6 9.c4 Nh6 10.O-O O-O 11.Re1 Nf6 12.c5 Bc7 13.Nd2,b4 h5 15.Bh3 g6 16.Nf3 Kg7 17.Ne5 Rh8 18.a4 Nd7 19.b5,fxe5 f6 21.exf6+ Qxf6 22.Ra3 Rae8 23.Rb3 Re7 24.Qd2 g5,Bxf5 Qxf5 26.Bc1 Kg6 27.Rbe3 Rg8 28.Re5 Bxe5 29.Rxe5 Qb1 30.Rxg5+,Rxh5+ Kg7 32.Kg2 Kf8 33.Qf4+ Ke8 34.Rh4 e5 35.dxe5 Rf7,Qh6 Rg6 37.Qe3 cxb5 38.axb5 Qb4 39.e6 Rf8 40.Qe5 Qxc5 41.Be3
Smyslov Vassily (RUS),2550,Eingorn Vereslav S (UKR),2560,1-0,e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Nf6 6.O-O Qc7 7.Qe2,Nb3 Ba7 9.Kh1 d6 10.c4 Nc6 11.Bg5 Bd7 12.Nc3 Nd4 13.Nxd4,Rac1 Qc5 15.Bd2 Qh5 16.f3 Be5 17.g4 Qh4 18.Qg2 g5 19.Be1,Bg3 Qg7 21.c5 Bc6 22.cxd6 Nd7 23.f4 gxf4 24.Bxf4 O-O 25.Bxe5,Qg3 Rad8 27.Rcd1 Kg7 28.Kg2 f6 29.Bc2 Rg8 30.h3 h5 31.Qxe5,gxh5 Kf7+ 33.Kf2 Rh8 34.Ne2 Rxh5 35.Nf4 Rh4 36.Kg3 Rhh8,Bb3 Rde8 38.Rd4 Nd7 39.Rc1 Rhg8+ 40.Kf2 Rg5 41.Rdc4 a5 42.Rxc6,Rxc6 Re5 44.Rc7 Rd8 45.Nxe6 Rxe6 46.h4 1-0
Smyslov Vassily (RUS),2550,Ivanchuk Vassily (UKR),2625,1-0,d4 Nf6 2.c4 e6 3.Nf3 c5 4.e3 cxd4 5.exd4 d5 6.Nc3 Be7 7.cxd5,Bd3 Nc6 9.O-O O-O 10.Re1 Bf6 11.Be4 Nce7 12.Ne5 Nc6 13.Qd3,Bxd5 Nb4 15.Qg3 Bh4 16.Qf3 exd5 17.Re2 Be6 18.a3 Nc6 19.Nxc6,Na4 Qc8 21.h3 Be7 22.Bf4 Qa6 23.Nc5 Bxc5 24.dxc5 Qb5,Rae1 Kh7 26.Qg3 Bf5 27.Bd6 Rg8 28.Re7 Bg6 29.Qc3 Qa4 30.Be5,Bd4 Rb8 32.R1e3 a5 33.f4 Qd1+ 34.Re1 Qa4 35.Qd2 Rb3 36.Bc3,Qf2 Be4 38.Rxf7 d4 39.Qxd4 Qxf7 40.Qxe4+ Kh8 41.f5 Qd5,Qxd5 cxd5 43.Re6 Rd8 44.Rxh6+ Kg8 45.Rh4 Rc8 46.Rg4 Rxc5 47.Rxg7+,f6 Rcxc3 49.bxc3 Rxc3 50.Rd7 Rxa3 51.Rxd5 Kf7 52.Rd6 1-0
Smyslov Vassily (RUS),2550,Karpov Anatoly (RUS),2725,1/2-1/2,e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3,c3 O-O 9.h3 Bb7 10.d4 Re8 11.Ng5 Rf8 12.Nf3 Re8 13.Ng5 Rf8,Nf3 Re8 1/2-1/2
Smyslov Vassily (RUS),2550,Khalifman Alexander (RUS),2530,1/2-1/2,Nf3 Nf6 2.g3 c5 3.c4 g6 4.b3 Bg7 5.Bb2 d6 6.Bg2 e5 7.O-O Nc6,e3 O-O 9.Nc3 h6 10.h3 Nh7 11.Ne1 Be6 12.Nd5 Qd7 13.Kh2 f5 14.Nd3,b4 g5 16.bxc5 e4 17.Bxg7 Qxg7 18.cxd6 exd3 19.Nc7 Bxc4,Qa4 b5 1/2-1/2
Smyslov Vassily (RUS),2550,Sokolov Andrei (FRA),2600,1/2-1/2,e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.f4 a6 7.Qf3,Nb3 Qc7 9.Bd3 b5 10.O-O Nbd7 11.Bd2 b4 12.Nd1 d5 13.Nf2,Nxe4 Bb7 15.Rae1 Nc5 16.Nbxc5 Bxc5+ 17.Be3 Nxe4 18.Bxe4,Qxe4 O-O 20.Rf2 1/2-1/2
Smyslov Vassily (RUS),2550,Vaganian Rafael A (ARM),2595,1/2-1/2,d4 Nf6 2.Nf3 g6 3.Bg5 Bg7 4.Nbd2 d5 5.e3 O-O 6.Bd3 c5 7.c3,O-O Qb6 9.Qc2 Re8 10.c4 cxd4 11.exd4 Qc7 12.Rac1 a6 13.Rfe1,Bh4 b6 15.Bg3 Qc6 16.b4 dxc4 17.Nxc4 Bf8 18.Qb2 Qb5 19.Nd6,Rcd1 Qxd1 21.Rxd1 Bxd6 22.Bxd6 Bb7 23.Ne5 Rec8 24.h3,Rc1 Bb7 26.a3 Nxe5 27.dxe5 Nd5 28.Rxc8+ Rxc8 29.Qd2 Kg7,a4 h6 31.a5 bxa5 32.bxa5 Bc6 33.Qd4 Bb5 34.Qa7 g5 35.Kh2 Rc2,Bc5 Rc4 37.Bb6 Rf4 38.Qb8 Rc4 39.Qd6 Rc6 40.Qd8 Rc4 41.Ba7,Bb8 Re7 43.h4 Re8 44.Qd6 gxh4 45.Bc7 Rc8 46.Bd8 Rc4 47.Bb6,Bc5 Kh7 49.Qf8 1/2-1/2
Smyslov Vassily (RUS),2550,Yudasin Leonid (ISR),2505,0-1,Nf3 c5 2.g3 d5 3.Bg2 g6 4.c3 Bg7 5.d4 Nd7 6.Bf4 Ngf6 7.Qc1,O-O O-O 9.Na3 Ne4 10.Nc2 cxd4 11.cxd4 Ndf6 12.b3 Be6 13.Qb2,Rac1 Nc3 15.Rfe1 Nfe4 16.Ng5 Bf5 17.Nxe4 Bxe4 18.Bxe4,Bd2 Nd5 20.e3 h5 21.Na3 Rd8 22.Rc4 Qe6 23.Bc1 a6 24.Qe2,Rc5 Nb4 26.Rf1 Nd3 27.Rc2 h4 28.Bd2 Qh3 29.Ba5 Rd5 30.Nb1,fxg3 b4 32.Bc7 e5 33.Nd2 exd4 34.Nxe4 dxe3 35.Rc4 Qe6,Ng5 Rxg5 37.Qxd3 Re8 38.Qe2 Rd5 39.Rc2 Bd4 40.Bf4 Bb6 41.Kg2,Rf3 g5 43.Rc4 Qe6 0-1
Smyslov Vassily (RUS),2550,Braga Fernando (AND),2425,1/2-1/2,d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 Be7 6.g3 Na6 7.Bg2 Nc7,Nh3 h5 9.f3 Bd7 10.a4 b6 11.Be3 Na6 12.Nf2 Nb4 13.h4 g6 14.Na2,Rxa2 Kf8 16.b3 Kg7 17.O-O a6 18.Qa1 Ng8 19.Nd3 f6 20.f4,Bf3 Nf7 22.b4 a5 23.bxc5 bxc5 24.Rb1 Qc7 25.Rab2 Rhb8,Bd1 Bc8 27.Rxb8 Rxb8 28.Rxb8 Qxb8 29.Bc2 Ba6 30.Qc3 Qc7 31.Bd2,Nf2 Qb8 33.Qb3 Qxb3 34.Bxb3 Nh6 35.fxe5 fxe5 36.Nd1 Nf7,Ne3 Bc8 38.Bd1 Bd7 39.Kg2 Nh6 40.Bc2 Bc8 41.Nd1 Nf7 42.Nc3,Bd1 g5 44.Bxh5 gxh4 45.gxh4 Bxh4 46.Kf3 Ng5+ 47.Ke3 Nh3,Nb5 Bxb5 49.axb5 Bd8 50.Bg4 Nf4 51.Bf3 Kg6 52.Be1 a4 53.Bc3,Kf2 Bh4+ 55.Kf1 Bd8 56.Ke1 Nd3+ 57.Kd2 Nb4 58.Kc1 1/2-1/2
Smyslov Vassily (RUS),2550,Gulko Boris F (USA),2590,1/2-1/2,d4 Nf6 2.Nf3 g6 3.Bg5 Bg7 4.Nbd2 c5 5.Bxf6 Bxf6 6.Ne4 Bxd4,Nxd4 cxd4 8.Qxd4 O-O 9.c4 Qa5+ 10.Qc3 Nc6 11.e3 d6 12.Qxa5,b3 1/2-1/2
Smyslov Vassily (RUS),2550,Lukacs Peter (HUN),2490,1-0,d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Nge2 d5 6.a3 Be7 7.Nf4,Bd2 Nbd7 9.cxd5 Nxd5 10.e4 N5b6 11.e5 c5 12.Be3 cxd4 13.Bxd4,Ne4 Bxd4 15.Qxd4 Nd5 16.Nxd5 exd5 17.Nd6 Nb8 18.Bd3 Nc6,Qxd5 Qg5 20.O-O Qxe5 21.Qxe5 Nxe5 22.Be4 Rd8 23.Rfd1 Kf8 24.Rac1,b4 b6 26.f4 Ng6 27.f5 Ne7 28.g4 f6 29.Nb5 Rxd1+ 30.Rxd1,Nxa7 Be2 32.Rd7 Re8 33.h3 Bc4 34.Kf2 b5 35.Rc7 Rd8 36.Kf3,a4 Nd5 38.Rc8+ Ke7 39.axb5 Rf1+ 40.Kg3 Ne3 41.b6 1-0
Smyslov Vassily (RUS),2550,Rigo Janos (HUN),2299,1/2-1/2,d4 Nf6 2.c4 e6 3.g3 d5 4.Nf3 Be7 5.Bg2 O-O 6.O-O c6 7.Nbd2,Qc2 Re8 9.e4 dxc4 10.Nxc4 b6 11.Bf4 Ba6 12.Rfe1 Rc8 13.Nd6,Bxd6 c5 15.Qa4 Bb7 16.e5 Ne4 17.Rad1 c4 18.Ba3 c3 19.Nh4,exf6 Ndxf6 21.Qc2 cxb2 22.Qxb2 Bd5 23.Rc1 1/2-1/2
Smyslov Vassily (RUS),2550,Tatai Stefano (ITA),2380,1/2-1/2,d4 Nf6 2.Nf3 e6 3.e3 c5 4.Bd3 b6 5.O-O Be7 6.Qe2 Nc6 7.a3 Bb7,b3 O-O 9.Bb2 Re8 10.Nbd2 Bf8 11.Rad1 cxd4 12.exd4 g6 13.Rfe1,c4 Ne7 15.b4 d6 16.h3 Qc7 17.Rc1 Rac8 18.Ng5 Qd7 19.b5,Nb3 Qc8 21.Rc2 h6 22.Nf3 Qa8 1/2-1/2
Smyslov Vassily (RUS),2565,Tseshkovsky Vitaly (RUS),2520,1/2-1/2,Nf3 Nf6 2.c4 g6 3.b3 Bg7 4.Bb2 O-O 5.g3 d6 6.d4 c6 7.Bg2 Bf5,O-O Qc8 9.Re1 Na6 10.Nc3 Bg4 11.Qd2 Nc7 12.Rad1 Re8 13.Ng5,Nge4 Nxe4 15.Nxe4 Bh3 16.d5 Bxb2 17.Qxb2 Bxg2 18.Kxg2 cxd5,cxd5 Qf5 20.Qd4 Nb5 21.Qd3 Rac8 22.f3 Nc7 23.Rd2 Kh7 24.Qd4,Qd3 Red8 26.Rc1 Ne8 27.Rdc2 Rxc2 28.Rxc2 Qd7 29.Rc6 f5,Nc3 e5 31.Qc4 Qe7 32.Nb5 Rd7 33.Rc8 a6 34.Nc3 b5 35.Qc6 e4,Qxa6 exf3+ 37.exf3 b4 38.Nd1 Nf6 39.Qd3 Qe5 40.f4 Qxd5+ 41.Qxd5,Kf3 Ra7 43.Rc2 Kg7 44.Ke2 Kf7 45.Kd3 Ke6 46.Kd4 Ra5 47.Rd2,Ne3 1/2-1/2
Smyslov Vassily (RUS),2565,Tal Mikhail (LAT),N/A,1/2-1/2, d4 Nf6 2. Nf3 e6 3. c4 c5 4. e3 d5 5. Nc3 Nc6 6. a3 a6 7. dxc5 Bxc5 8. b4, Bb2 O-O 10. Rc1 Ne5 11. Nxe5 Bxe5 12. Bd3 dxc4 13. Bxc4 Bd7 14. Be2 Rc8, O-O Qb6 16. Ba1 Rfd8 17. Qb3 Bc6 18. Rfd1 Nd5 19. Nxd5 Bxd5 20. Qb1 Bxa1, Qxa1 Bc6 22. Rxd8+ Rxd8 23. Rd1 1/2-1/2
Smyslov Vassily (RUS),2550,Smart Leslie (ENG),2120,1-0, Nf3 Nf6 2. d4 e6 3. e3 b6 4. Bd3 Bb7 5. O-O Be7 6. Nbd2 c5 7. c3 O-O 8. Re1, Ne5 Nfd7 10. f4 f5 11. Ndf3 Nxe5 12. dxe5 Ba6 13. b3 Bxd3 14. Qxd3 Nc6, Bd2 g5 16. fxg5 Bxg5 17. c4 Bh6 18. Rad1 Ne7 19. Qc2 Qe8 20. cxd5 exd5 21., bxc5 bxc5 23. Re2 Qh5 24. Be1 Rc6 25. Bh4 Ng6 26. Bf6 Bg7 27. Bxg7, Rxd5 f4 29. Rxc5 1-0
Vasily Smyslov,?,Jaan Yukhanovich Ehlvest,?,1-0, Nf3 d5 2. b3 Bg4 3. Bb2 Nd7 4. d4 Bxf3 5. exf3 e6 6. f4 Bd6 7. g3 Qe7, Bg2 c6 9. c4 Nh6 10. O-O O-O 11. Re1 Nf6 12. c5 Bc7 13. Nd2 Nf5 14. b4 h5, Bh3 g6 16. Nf3 Kg7 17. Ne5 Rh8 18. a4 Nd7 19. b5 Nxe5 20. fxe5 f6, exf6+ Qxf6 22. Ra3 Rae8 23. Rb3 Re7 24. Qd2 g5 25. Bxf5 Qxf5 26. Bc1 Kg6, Rbe3 Rg8 28. Re5 Bxe5 29. Rxe5 Qb1 30. Rxg5+ Kh7 31. Rxh5+ Kg7 32. Kg2 Kf8, Qf4+ Ke8 34. Rh4 e5 35. dxe5 Rf7 36. Qh6 Rg6 37. Qe3 cxb5 38. axb5 Qxb5, e6 Rf8 40. Qe5 Qxc5 41. Be3 Qc6
